,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Panjabi,157,1358,2991,103,116702,46,247,18,3,7,0,5146,0,242,17,1269,5480,50,1946,2,339,14,1397,102,0,3371,1314,1,3,32,0,69,0,3,814,238
Hindi,1269,57235,18694,1891,2161842,90,1711,282,0,1,7,9947,89,1422,20,18263,7370,1440,49452,112,8791,12,4900,1071,0,5319,5739,167,4,1269,71,106,85,28,14077,794
Girawa,2,1,4,0,74,0,1,0,0,0,0,21,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Bengali,409,10996,3732,2801,24016,4,563,0,286,234,0,617329,80,11,52,1604,418,172,7219,1,1393,16,824,619,1,1882,20,0,20,2,1,15,0,69,76,120
Urdu,200,5568,2148,155,365715,4,129,28,0,1,0,1349,1,483,3,5039,923,172,4769,60,978,6,654,197,0,740,912,24,0,56,8,11,5,1,6324,75
Nepali (individual language),137,8707,4328,1526,21607,1,2031,0,8,4,0,3226,0,21,127,1015,3203,50,11160,1,1381,12,636,54,0,1300,213,0,69,6,0,2,0,2,46,62
Bhili,18,85,380,55,1168,0,71,0,0,0,0,593,0,0,27,30,34,5,105,0,54,0,14,16,0,11,0,0,1,0,0,1,0,1,4,0
Kok Borok,6,33,93,35,182,0,4,0,1,0,0,305,0,0,10,3,7,2,63,0,2,0,4,7,0,6,0,0,0,0,0,0,0,0,0,0
Magahi,2,491,1,5,2030,0,3,0,0,0,0,9,0,1,0,174,1,6,550,0,38,0,0,9,0,3,0,0,0,0,0,0,0,0,2,1
Sindhi,149,6258,4221,794,89444,4,599,1,0,5,1,2299,0,196,28,2237,4282,108,2719,10,1737,40,810,79,0,1812,563,0,13,5,0,24,2,4,875,76
Sinhala,20,335,1598,75,10551,66,96,0,0,3,0,3738,0,33,14,147,294,6,406,0,58,417,2358,22,20,5214,34,1,4,20,0,56,0,0,56,59
Sadri,66,351,59,59,5057,0,18,0,0,0,0,123,0,1,0,135,1,67,1012,0,52,0,1,161,0,2,1,0,0,1,0,0,0,0,16,15
Wik-Mungkan,9,42,167,19,1305,0,12,0,0,0,0,284,0,0,10,48,19,7,37,0,6,2,30,3,0,46,1,0,0,1,0,3,0,0,8,6
Kurukh,69,424,180,80,4375,0,99,0,0,0,0,320,0,0,23,214,31,64,1010,0,91,0,51,507,0,33,2,0,2,1,0,17,0,0,7,262
Somali,15,166,164,41,2896,0,21,0,0,1,0,225,0,2,10,209,24,11,163,0,30,6,355,10,0,175,0,0,1,5,0,4,0,0,11,16
Marathi,323,2056,299958,1169,30982,25,3302,0,2,6,1,7066,1,9,723,741,1235,125,2346,30,639,68,4162,214,0,3405,101,0,83,46,0,6,0,1,160,245
Wolof,11,74,297,32,1162,1,32,0,0,2,0,413,0,0,13,46,37,7,87,0,17,9,167,12,0,270,1,0,2,1,0,12,0,0,6,11
Assamese,126,1759,4153,778,10244,2,204,0,34,11,0,20362,0,3,66,452,151,42,2283,0,97,4,343,108,0,933,11,0,3,0,0,42,0,2,37,12
Surgujia,75,274,7,3,1382,0,110,0,0,0,0,22,0,0,0,94,4,43,786,0,70,0,0,84,0,0,0,0,8,0,0,0,0,0,0,2
Fiji Hindi,37,848,254,27,26299,0,166,0,0,0,0,72,1,17,0,268,39,115,1441,0,155,0,48,30,0,50,29,0,1,6,0,0,0,0,277,3
Bhojpuri,34,2715,13,15,2775,0,44,0,0,0,0,7,0,3,0,665,3,2,4088,0,385,0,0,33,0,7,2,0,0,0,0,0,0,0,2,1
Malayalam,5,78,816,16,3731,7,14,0,0,13,0,1151,0,4,5,46,227,2,96,0,28,249,5733,3,784,5596,26,0,0,74,0,24,0,0,30,9
Dhimal,1,2,21,17,85,0,5,0,0,0,0,54,0,0,1,0,6,0,73,0,0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0
Mambae,2,8,7,3,78,0,1,0,0,0,0,6,0,0,3,1,1,0,14,0,1,0,3,1,0,5,0,0,0,0,0,0,0,0,1,0
Bagheli,90,772,14,9,5687,0,7,0,0,0,0,11,1,14,0,301,3,19,1376,0,133,0,6,63,0,5,1,0,0,0,0,0,0,0,11,1
Rana Tharu,21,814,5,10,3326,0,7,0,0,0,0,3,0,1,0,330,5,11,811,0,171,0,3,8,0,0,2,0,0,0,0,0,0,0,4,1
Javanese,9,140,720,68,2773,1,30,0,0,9,1,795,0,0,7,75,38,16,83,0,33,7,158,6,0,645,1,0,0,1,0,5,0,0,22,4
Malayic Dayak,1,1,3,3,30,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,1
Chakma,2,18,5,16,60,0,1,0,0,0,0,575,0,0,0,2,1,0,31,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0
Telugu,14,524,2978,381,10188,167,209,0,12,12,0,4406,0,12,41,217,1171,12,956,0,133,1896,26200,50,20,467136,120,0,8,352,0,119,0,1,86,411
Odia,21,213,281,29,751,0,102,0,69,0,0,1826,0,2,11,14,27,3,1438,0,28,0,44,9,0,58,3,0,0,0,0,10,0,0,1,4
Kannada,5,286,1863,119,8608,234,198,0,0,2,3,513,0,6,18,151,625,2,575,0,80,1254,404570,17,114,6329,74,0,3,235,0,49,0,0,143,304
Kupia,1,8,17,14,126,0,12,0,0,0,0,275,0,0,1,0,6,2,21,0,2,2,52,3,0,122,0,0,0,1,0,7,0,0,1,6
Sundanese,3,25,136,10,732,0,7,0,0,1,0,75,0,0,2,13,9,1,22,0,5,5,91,4,0,111,0,0,0,0,0,1,0,0,2,6
Fulah,3,50,80,8,679,0,7,0,0,0,0,292,0,0,6,21,11,6,33,0,4,3,17,4,0,32,1,0,0,0,0,0,0,0,3,4
Mufian,3,1,0,0,31,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tippera,3,27,35,10,185,0,1,0,0,0,0,85,0,0,1,2,3,0,25,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaluli,1,1,1,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mru,2,8,14,7,57,0,1,0,0,0,0,3,0,0,1,1,1,1,7,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mahasu Pahari,15,500,451,262,3425,0,140,0,0,0,0,1269,0,2,18,107,375,10,2176,0,131,0,71,14,0,26,13,0,18,0,0,1,0,0,3,11
Varhadi-Nagpuri,1,9,1658,0,100,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kashmiri,4,478,776,92,3375,0,121,0,0,0,0,397,0,8,52,154,389,3,310,0,113,4,80,3,0,76,50,0,6,0,0,2,0,0,20,0
Ramoaaina,1,6,21,4,67,0,1,0,0,0,0,17,0,0,2,1,0,1,2,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,1,1
Malvi,11,19,9,4,687,0,1,0,0,0,0,85,0,3,0,5,12,0,52,0,5,0,4,3,0,5,0,0,0,1,0,1,0,0,5,0
Bhatri,4,34,67,19,160,0,779,0,0,0,0,113,0,0,0,8,5,1,222,0,30,0,3,3,0,2,0,0,44,0,0,0,0,0,0,1
Kullu Pahari,4,306,219,133,18503,0,43,0,0,0,0,333,0,6,1,143,134,145,555,0,73,0,36,136,0,15,1,0,0,2,0,0,0,0,30,13
Manipuri,21,314,125,68,1045,0,39,0,0,0,0,842,0,1,12,64,14,11,348,0,20,0,25,50,0,8,1,0,1,0,0,2,0,0,1,17
Maori,6,81,174,7,1495,0,7,0,0,1,0,282,0,1,8,76,24,12,67,0,18,2,44,2,0,80,0,0,0,1,0,5,0,0,9,3
Khmer,3,17,36,2,264,0,3,0,0,0,0,30,0,0,1,4,3,0,3,0,7,0,5,1,0,53,0,0,0,1,0,0,0,0,3,0
Ho,2,2,5,0,81,0,1,0,0,0,0,32,0,0,1,1,0,0,15,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2
Thai,1,6,98,1,462,0,2,0,0,0,0,68,0,0,1,7,15,1,7,0,4,0,9,0,0,96,0,0,0,1,0,0,0,0,4,1
Gujarati,85,7161,5911,1489,24424,0,3247,0,13,1,0,9773,0,15,43,1116,2608,51,4542,22,2778,10,476,61,0,849,236,0,42,4,0,10,0,111,137,10
Guajá,1,1,5,0,62,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chhattisgarhi,3,358,78,1,4981,0,23,0,0,0,0,13,0,6,0,98,5,52,758,0,66,0,1,53,0,29,8,0,0,1,0,0,0,1,13,0
Mandjak,1,7,32,0,67,0,2,0,0,1,0,46,0,1,0,2,2,0,4,0,1,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0
Kamayurá,1,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mongolian,1,59,110,20,587,0,1,0,0,3,0,366,0,0,1,11,16,1,25,0,5,1,55,1,0,32,2,0,0,0,0,0,0,0,4,1
Pushto,18,561,1951,180,12218,0,287,0,0,2,3,633,0,4,77,378,609,23,742,0,112,35,1213,10,0,464,77,0,6,8,0,3,0,1,186,55
Dhatki,3,179,15,26,790,0,21,0,0,0,0,96,0,5,0,14,163,1,71,0,80,0,1,2,0,8,13,0,2,0,0,0,0,0,10,0
Northern Gondi,15,36,96,3,337,0,89,0,0,0,0,106,0,1,3,11,2,1,63,1,5,0,15,8,0,33,0,0,1,0,0,1,0,0,0,7
Nyanja,1,7,9,0,46,0,0,0,0,0,0,42,0,0,0,0,1,1,3,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0
Norwegian Nynorsk,5,60,93,5,1099,0,2,0,0,4,0,307,0,0,3,38,14,8,18,0,7,1,79,3,1,114,0,0,0,0,0,1,0,0,12,2
Wagdi,1,149,53,37,1443,0,50,0,0,0,0,106,0,3,1,72,47,2,254,0,134,0,5,4,0,6,1,0,3,0,0,0,0,0,5,0
Aheri Gondi,2,30,93,30,311,3,156,0,0,0,0,182,0,0,6,13,31,0,136,0,12,48,951,17,0,2599,1,0,5,1,0,12,0,0,2,24
