Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_S_Bihar_Vaishali_95034_10878621_BHVSOTHER_339486_7530_17936.wav,BAJJIKA,Gujarati,0.8163965940475464
IISc_VaaniProject_S_Bihar_Vaishali_87761_10533516_BHVSGT_1785_11696_20461.wav,BAJJIKA,Hindi,0.02653311938047409
IISc_VaaniProject_S_Bihar_Vaishali_106369_11310576_KTCMMAO_300177_0_9127.wav,BAJJIKA,Hindi,0.7426910996437073
IISc_VaaniProject_S_Bihar_Vaishali_88020_10541105_CGBMEX_346511_9573_17167.wav,BAJJIKA,Panjabi,0.324908047914505
IISc_VaaniProject_S_Bihar_Vaishali_82619_10408131_TGKMEC_81800_198_6003.wav,BAJJIKA,Sanskrit,0.22731679677963257
IISc_VaaniProject_S_Bihar_Vaishali_83897_10416930_KTBBA_320969_0_12613.wav,BAJJIKA,Hindi,0.3647867441177368
IISc_VaaniProject_S_Bihar_Vaishali_80581_10323431_BHVSCH_338308_3160_8342.wav,BAJJIKA,Hindi,0.8725521564483643
IISc_VaaniProject_S_Bihar_Vaishali_92919_10919027_BHVSCS_338228_0_8969.wav,BAJJIKA,Bhojpuri,0.45010507106781006
IISc_VaaniProject_S_Bihar_Vaishali_107072_11344322_BHVSREI_339434_6810_19090.wav,BAJJIKA,Nepali (individual language),0.979469895362854
IISc_VaaniProject_S_Bihar_Vaishali_109087_11490290_BHVSFAR_338557_10496_16719.wav,BAJJIKA,Hindi,0.8266042470932007
IISc_VaaniProject_S_Bihar_Vaishali_83872_10416152_BHECHDAF_356638_0_11559.wav,BAJJIKA,Bhojpuri,0.3124045431613922
IISc_VaaniProject_S_Bihar_Vaishali_88435_10551363_BHVSCS_338223_498_12496.wav,BAJJIKA,Rana Tharu,0.1108921617269516
IISc_VaaniProject_S_Bihar_Vaishali_107152_11381637_BHARBC_352022_8_8131.wav,BAJJIKA,Bengali,0.517849862575531
IISc_VaaniProject_S_Bihar_Vaishali_86526_10498335_BHVSAC_22000_7301_13843.wav,BAJJIKA,Bengali,0.21023380756378174
IISc_VaaniProject_S_Bihar_Vaishali_87787_10533684_BHVSGOB_25797_22_10355.wav,BAJJIKA,Rana Tharu,0.10249153524637222
IISc_VaaniProject_S_Bihar_Vaishali_88083_10539413_BHECHCO_356607_5096_15359.wav,BAJJIKA,Hindi,0.7684856057167053
IISc_VaaniProject_S_Bihar_Vaishali_87727_10531716_CGBTDM_79582_11742_18542.wav,BAJJIKA,Kullu Pahari,0.2757292687892914
IISc_VaaniProject_S_Bihar_Vaishali_83819_10415170_BHARCA_352137_6003_14951.wav,BAJJIKA,Bengali,0.15628455579280853
IISc_VaaniProject_S_Bihar_Vaishali_82345_10381449_TGNLFOS_158051_10280_14327.wav,BAJJIKA,Nepali (individual language),0.934427797794342
IISc_VaaniProject_S_Bihar_Vaishali_89049_10666514_BHVSCG_212897_4049_5717.wav,BAJJIKA,Marathi,0.8744933605194092
IISc_VaaniProject_S_Bihar_Vaishali_87500_10532446_KTCMLA_300268_6957_12441.wav,BAJJIKA,Chitwania Tharu,0.08579443395137787
IISc_VaaniProject_S_Bihar_Vaishali_101453_11106651_CGBTDAF_206402_8258_14820.wav,BAJJIKA,Nepali (individual language),0.4189482629299164
IISc_VaaniProject_S_Bihar_Vaishali_90697_10688327_BHVSOTHER_338377_13083_20225.wav,BAJJIKA,Bengali,0.16190758347511292
IISc_VaaniProject_S_Bihar_Vaishali_83906_10508671_BHVSOTHER_337972_0_6396.wav,BAJJIKA,Bhojpuri,0.15498802065849304
IISc_VaaniProject_S_Bihar_Vaishali_89585_10624202_BHARCA_352125_3_10263.wav,BAJJIKA,Nepali (individual language),0.11335683614015579
IISc_VaaniProject_S_Bihar_Vaishali_81559_10519418_BHJHWP_16421_3_13998.wav,BAJJIKA,Hindi,0.6708374619483948
IISc_VaaniProject_S_Bihar_Vaishali_116197_11967385_BHGGFE_150328_0_8090.wav,BAJJIKA,Gujarati,0.9937816262245178
IISc_VaaniProject_S_Bihar_Vaishali_88415_10585005_BHVSCG_212920_12053_21031.wav,BAJJIKA,Assamese,0.6919587850570679
IISc_VaaniProject_S_Bihar_Vaishali_89718_12544058_APVDA_74648_13522_19448.wav,BAJJIKA,Nepali (individual language),0.30749160051345825
IISc_VaaniProject_S_Bihar_Vaishali_88290_10547319_UPVNREI_136144_0_5850.wav,BAJJIKA,Assamese,0.8537861704826355
IISc_VaaniProject_S_Bihar_Vaishali_106369_11319722_BHVSGA_25272_0_12343.wav,BAJJIKA,Hindi,0.8474876284599304
IISc_VaaniProject_S_Bihar_Vaishali_118118_11986811_BHVSJAT_338896_7341_11819.wav,BAJJIKA,Nepali (individual language),0.18529082834720612
IISc_VaaniProject_S_Bihar_Vaishali_118045_11933917_BHVSST_339666_2_6643.wav,BAJJIKA,Bengali,0.14913134276866913
IISc_VaaniProject_S_Bihar_Vaishali_103407_11198547_BHVSSC_22118_189_10081.wav,BAJJIKA,Hindi,0.8465706706047058
IISc_VaaniProject_S_Bihar_Vaishali_83823_10415848_CGBTCH_207515_0_9225.wav,BAJJIKA,Hindi,0.982624351978302
IISc_VaaniProject_S_Bihar_Vaishali_106369_11317221_BHVSGOB_339329_1_8677.wav,BAJJIKA,Hindi,0.9776006937026978
IISc_VaaniProject_S_Bihar_Vaishali_118236_12199224_KTDHOTHER_299190_0_14247.wav,BAJJIKA,Bengali,0.12561149895191193
IISc_VaaniProject_S_Bihar_Vaishali_88091_10539719_JKJEV_370384_0_7749.wav,BAJJIKA,Bengali,0.9329113960266113
IISc_VaaniProject_S_Bihar_Vaishali_88045_10550944_BHVSAT_219530_6408_19269.wav,BAJJIKA,Hindi,0.40683913230895996
IISc_VaaniProject_S_Bihar_Vaishali_85849_10516650_BHVSWAM_340018_13856_15206.wav,BAJJIKA,Sundanese,0.5770537853240967
IISc_VaaniProject_S_Bihar_Vaishali_104896_11259155_BHVSAT_337921_5716_11541.wav,BAJJIKA,Sindhi,0.8304522037506104
IISc_VaaniProject_S_Bihar_Vaishali_107152_11378394_BHBSINCG_127471_0_9879.wav,BAJJIKA,Hindi,0.2764211595058441
IISc_VaaniProject_S_Bihar_Vaishali_88206_10548270_APATSU_78070_6914_14305.wav,BAJJIKA,Assamese,0.25261354446411133
IISc_VaaniProject_S_Bihar_Vaishali_89057_10693233_TGKWOHS_81008_14489_18874.wav,BAJJIKA,Hindi,0.9755508899688721
IISc_VaaniProject_S_Bihar_Vaishali_82853_10392787_BHVSEV_212746_460_7852.wav,BAJJIKA,Bengali,0.9728493094444275
IISc_VaaniProject_S_Bihar_Vaishali_95729_11116654_BHVSDAF_338418_5374_18071.wav,BAJJIKA,Hindi,0.3479301333427429
IISc_VaaniProject_S_Bihar_Vaishali_82853_10393327_CGBTINA_176170_181_11384.wav,BAJJIKA,Hindi,0.3870067000389099
IISc_VaaniProject_S_Bihar_Vaishali_82208_10378947_BHVSRI_219371_0_5894.wav,BAJJIKA,Bengali,0.25248458981513977
IISc_VaaniProject_S_Bihar_Vaishali_88550_10554312_BHVSTEP_339922_9924_14246.wav,BAJJIKA,Nepali (individual language),0.4602976143360138
IISc_VaaniProject_S_Bihar_Vaishali_86124_10483291_MRPZO_30858_17_12870.wav,BAJJIKA,Bengali,0.29300734400749207
IISc_VaaniProject_S_Bihar_Vaishali_88308_10605966_BHVSREI_339434_0_6235.wav,BAJJIKA,Bengali,0.27116814255714417
IISc_VaaniProject_S_Bihar_Vaishali_86654_10503310_BHVSCH_338307_0_12331.wav,BAJJIKA,Bagheli,0.1874353438615799
IISc_VaaniProject_S_Bihar_Vaishali_82588_10392477_BHGGCH_363619_11830_17944.wav,BAJJIKA,Hindi,0.8166618347167969
IISc_VaaniProject_S_Bihar_Vaishali_90549_10679777_BHVSMQ_228583_532_14808.wav,BAJJIKA,Nepali (individual language),0.13953715562820435
IISc_VaaniProject_S_Bihar_Vaishali_115135_11770265_BHVSOTHER_338877_82_7238.wav,BAJJIKA,Hindi,0.7378697395324707
IISc_VaaniProject_S_Bihar_Vaishali_95305_10881202_MRADAF_256383_7403_16576.wav,BAJJIKA,Rana Tharu,0.08386363834142685
IISc_VaaniProject_S_Bihar_Vaishali_88524_10553727_BHVSUN_24946_0_11238.wav,BAJJIKA,Bhojpuri,0.4026060700416565
IISc_VaaniProject_S_Bihar_Vaishali_105395_11299947_BHBSOTHER_294998_262_5299.wav,BAJJIKA,Nepali (individual language),0.713289737701416
IISc_VaaniProject_S_Bihar_Vaishali_89416_10668704_BHVSGA_24511_32_10305.wav,BAJJIKA,Nepali (individual language),0.29626455903053284
IISc_VaaniProject_S_Bihar_Vaishali_105232_11272324_BHVSJAT_338906_12942_18819.wav,BAJJIKA,Hindi,0.9952298402786255
IISc_VaaniProject_S_Bihar_Vaishali_82964_10401002_BHVSLK_21711_56_11067.wav,BAJJIKA,Bhojpuri,0.21997947990894318
IISc_VaaniProject_S_Bihar_Vaishali_105372_11304620_BHARCH_352231_8341_19465.wav,BAJJIKA,Hindi,0.7429901957511902
IISc_VaaniProject_S_Bihar_Vaishali_105393_12364966_APCTEX_264540_8_11741.wav,BAJJIKA,Assamese,0.9971017241477966
IISc_VaaniProject_S_Bihar_Vaishali_87073_10522547_CGBTBIS_207924_2566_9771.wav,BAJJIKA,Nepali (individual language),0.9285761117935181
IISc_VaaniProject_S_Bihar_Vaishali_106433_11321270_BHVSOTHER_337995_10100_18668.wav,BAJJIKA,Assamese,0.5197056531906128
IISc_VaaniProject_S_Bihar_Vaishali_95034_10879696_JKJHE_150891_9590_18453.wav,BAJJIKA,Nepali (individual language),0.6141194701194763
IISc_VaaniProject_S_Bihar_Vaishali_106432_11311078_BHVSCOS_338349_6275_19951.wav,BAJJIKA,Hindi,0.6112233400344849
IISc_VaaniProject_S_Bihar_Vaishali_88102_10539888_BHVSBR_219331_9306_18622.wav,BAJJIKA,Urdu,0.4383274018764496
IISc_VaaniProject_S_Bihar_Vaishali_88091_10540049_BHJHBK_224565_6753_19459.wav,BAJJIKA,Oraon Sadri,0.12650439143180847
IISc_VaaniProject_S_Bihar_Sitamarhi_56302_9381442_TGKWOHS_81008_185_6351.wav,BAJJIKA,Urdu,0.38600394129753113
