Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_63298_9581262_UPMNBU_330758_78_9945.wav,KHARI BOLI,Hindi,0.9925090670585632
IISc_VaaniProject_S_Uttarpradesh_Etah_59598_9403443_APATFLM_84213_3126_14143.wav,KHARI BOLI,Hindi,0.9398378133773804
IISc_VaaniProject_S_Uttarpradesh_Jalaun_133600_13164453_BHGGGOB_149094_498_8700.wav,KHARI BOLI,Bengali,0.7578694224357605
IISc_VaaniProject_S_Uttarpradesh_Hamirpur_62049_9497631_KTDKAHO_27424_9510_16500.wav,KHARI BOLI,Urdu,0.6281531453132629
IISc_VaaniProject_S_Uttarpradesh_Budaun_140278_12980525_UPBUCH_309954_9920_20944.wav,KHARI BOLI,Gujarati,0.9744617342948914
IISc_VaaniProject_S_Uttarpradesh_Budaun_60041_9412200_TGKOF_203060_20_6599.wav,KHARI BOLI,Hindi,0.6530815362930298
IISc_VaaniProject_S_Uttarpradesh_Hamirpur_141315_13257730_UPHMT_373297_127_11910.wav,KHARI BOLI,Sindhi,0.9393373727798462
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_59237_9391500_TGNLAMP_142737_432_11982.wav,KHARI BOLI,Urdu,0.21733695268630981
IISc_VaaniProject_S_Uttarpradesh_Hamirpur_60119_9410783_APVCO_74600_9303_11142.wav,KHARI BOLI,Manipuri,0.14791987836360931
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_60747_9427560_TGKVEM_8410_5500_8522.wav,KHARI BOLI,Urdu,0.5895435214042664
IISc_VaaniProject_S_Uttarpradesh_Ghazipur_100205_11230705_UPGZSP_214409_0_5194.wav,KHARI BOLI,Bhojpuri,0.08276031166315079
IISc_VaaniProject_S_Uttarpradesh_Budaun_59871_9410870_KTDKAPL_178975_4900_11413.wav,KHARI BOLI,Hindi,0.9575798511505127
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_64977_9972082_BHMO_113980_70_6918.wav,KHARI BOLI,Urdu,0.896022379398346
IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_59965_9406024_TGKMQ_20291_175_9479.wav,KHARI BOLI,Hindi,0.5408010482788086
IISc_VaaniProject_S_Uttarpradesh_JyotibaPhuleNagar_61551_9442301_TGNLPP_188181_886_7842.wav,KHARI BOLI,Hindi,0.9778100252151489
IISc_VaaniProject_S_Uttarpradesh_Budaun_59517_9410974_CGKDCO_226419_114_1920.wav,KHARI BOLI,Hindi,0.875164270401001
IISc_VaaniProject_S_Uttarpradesh_Budaun_59876_9413602_APCTBU_948_3097_9367.wav,KHARI BOLI,Hindi,0.879141092300415
IISc_VaaniProject_S_Uttarpradesh_Budaun_59517_9411074_KTDKAHIS_62564_52_1489.wav,KHARI BOLI,Telugu,0.7203110456466675
IISc_VaaniProject_S_Uttarpradesh_Budaun_137368_12878379_UPBUSC_17445_7955_17081.wav,KHARI BOLI,Nepali (individual language),0.5259556174278259
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_59385_9395971_TGKFM_8016_730_13987.wav,KHARI BOLI,Hindi,0.9952321648597717
IISc_VaaniProject_S_Uttarpradesh_Etah_142915_13140386_UPEBA_354382_0_9882.wav,KHARI BOLI,Hindi,0.5756815671920776
IISc_VaaniProject_S_Uttarpradesh_Etah_59584_9402877_KTDHTHP_172663_7340_14929.wav,KHARI BOLI,Kannada,0.9104042053222656
IISc_VaaniProject_S_Uttarpradesh_JyotibaPhuleNagar_60179_9445523_UPVNIT_11195_60_3540.wav,KHARI BOLI,Hindi,0.8888670206069946
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_59103_9401365_TGNLTD_115183_6874_13187.wav,KHARI BOLI,Urdu,0.5059606432914734
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_64977_9639304_UPVNMT_222607_13005_20375.wav,KHARI BOLI,Hindi,0.9946815371513367
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_59776_9400721_TGKMEC_81800_10921_17587.wav,KHARI BOLI,Hindi,0.5003876090049744
IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_65476_9802318_UPGPJAT_257892_6592_18453.wav,KHARI BOLI,Odia,0.5476227402687073
IISc_VaaniProject_S_Uttarpradesh_Budaun_59729_9410962_APATGS_46460_9557_14096.wav,KHARI BOLI,Kullu Pahari,0.03322044759988785
IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_59064_9387965_BHGJFA_155746_6574_11252.wav,KHARI BOLI,Hindi,0.9976851940155029
IISc_VaaniProject_S_Uttarpradesh_Hamirpur_57400_9386572_BHGJMA_193278_2_5243.wav,KHARI BOLI,Hindi,0.9904381632804871
IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_65476_9786207_UPGPIM_348516_14357_19961.wav,KHARI BOLI,Bengali,0.9932296276092529
IISc_VaaniProject_S_Uttarpradesh_JyotibaPhuleNagar_61578_9444601_UPVNHO_17386_0_5922.wav,KHARI BOLI,Urdu,0.8468718528747559
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_59347_9395295_APVAT_191340_7800_12550.wav,KHARI BOLI,Hindi,0.635510265827179
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_59818_9403449_BHJHME_115733_7302_10520.wav,KHARI BOLI,Urdu,0.6936478018760681
IISc_VaaniProject_S_Uttarpradesh_JyotibaPhuleNagar_60955_9459320_CGKDOTHER_301478_8953_13984.wav,KHARI BOLI,Hindi,0.834682047367096
IISc_VaaniProject_S_Uttarpradesh_Budaun_60045_9413142_DOA_294372_400_5482.wav,KHARI BOLI,Hindi,0.844656765460968
IISc_VaaniProject_S_Uttarpradesh_Budaun_60045_9413094_KTDHVEM_416_6535_16652.wav,KHARI BOLI,Hindi,0.9103752374649048
IISc_VaaniProject_S_Uttarpradesh_Muzzaffarnagar_60691_9448145_BHJHBA_9400_9928_12668.wav,KHARI BOLI,Sindhi,0.22005246579647064
