Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10463279_CGJPOTHER_10101_13540_19075.wav,NAGPURI,Bhojpuri,0.4946550726890564
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85936_10477539_KKFO_292460_0_4708.wav,NAGPURI,Surgujia,0.17256778478622437
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85729_10473781_BHGJWAF_185450_498_10981.wav,NAGPURI,Hindi,0.0544251874089241
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81967_10387676_CGJPBR_23053_0_8893.wav,NAGPURI,Panjabi,0.537107527256012
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85651_10892582_CGJPCG_176357_10680_20346.wav,NAGPURI,Bengali,0.27056342363357544
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10463522_CGJPMT_25707_13770_19440.wav,NAGPURI,Bhojpuri,0.192674458026886
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85598_10467513_CGJPSR_268200_7465_19735.wav,NAGPURI,Hindi,0.9099592566490173
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10907510_CGJPHC_366304_20_10972.wav,NAGPURI,Kurukh,0.8478965163230896
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10463310_CGJPPG_129972_0_4455.wav,NAGPURI,Hindi,0.09228955954313278
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10463769_CGJPOTHER_366024_4422_9169.wav,NAGPURI,Sadri,0.03365427628159523
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85907_10490065_BHGGBO_363531_180_10068.wav,NAGPURI,Surgujia,0.17064940929412842
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10493643_BHJHAMP_194317_12016_15155.wav,NAGPURI,Nepali (individual language),0.3549104630947113
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85729_10473359_BHCO_134944_0_7669.wav,NAGPURI,Maithili,0.0976422131061554
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10464509_CGJPRAS_5564_0_6407.wav,NAGPURI,Bengali,0.23358064889907837
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86411_10493359_CGJPCP_260279_62_11587.wav,NAGPURI,Hindi,0.4742976725101471
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86408_10497768_MRABC_323380_10101_18941.wav,NAGPURI,Bengali,0.4134630858898163
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10907933_CGJPHE_222026_14182_15887.wav,NAGPURI,Kurukh,0.1677447408437729
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85598_10466825_CGJPSTF_363313_110_7315.wav,NAGPURI,Bhojpuri,0.8438369631767273
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10462550_CGJPGT_23704_94_11517.wav,NAGPURI,Chhattisgarhi,0.33768609166145325
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10494348_BHVSCO_228435_16_8587.wav,NAGPURI,Hindi,0.3408779799938202
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81967_10385959_TGNLRI_44357_4936_7722.wav,NAGPURI,Dhatki,0.11444706469774246
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85465_10464390_CGJPFR_17299_9733_19603.wav,NAGPURI,Hindi,0.8603114485740662
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85483_10462068_CGJPDM_124523_0_6844.wav,NAGPURI,Bhojpuri,0.29831406474113464
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10494341_BHVSBA_338052_7990_12799.wav,NAGPURI,Hindi,0.9401878714561462
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10463310_CGJPPG_129972_15120_16908.wav,NAGPURI,Lodhi,0.08074510842561722
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86724_10505967_CGJPMAO_90247_2557_7676.wav,NAGPURI,Hindi,0.9335541129112244
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85729_10473744_BHGJTNT_193315_0_5354.wav,NAGPURI,Hindi,0.48179638385772705
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81967_10385947_BHGGGY_364058_0_6328.wav,NAGPURI,Hindi,0.44563719630241394
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85651_10892743_CGJPCO_1585_0_13081.wav,NAGPURI,Nepali (individual language),0.47197097539901733
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10494681_CGBMEX_346523_13433_15323.wav,NAGPURI,Hindi,0.9623054265975952
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85651_10892992_CGJPCP_167423_40_8948.wav,NAGPURI,Hindi,0.09651869535446167
IISc_VaaniProject_S_Chhattisgarh_Jashpur_82611_10393297_HEC_143649_0_10463.wav,NAGPURI,Hindi,0.9935073852539062
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85907_10489969_BHGGEV_363735_13321_19121.wav,NAGPURI,Hindi,0.07863505184650421
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10908106_CGJPHE_182569_7473_16569.wav,NAGPURI,Kurukh,0.9974716901779175
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10494172_BHJMBC_214447_4386_6465.wav,NAGPURI,Sindhi,0.044281117618083954
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85651_10892267_CGJPCO_22262_13753_19170.wav,NAGPURI,Hindi,0.9702687859535217
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10493328_BHGGGOB_364034_7113_16040.wav,NAGPURI,Hindi,0.6237090229988098
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10463292_CGJPIT_124499_7779_15414.wav,NAGPURI,Nepali (individual language),0.13810284435749054
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81967_10381930_APVBC_255283_3085_8521.wav,NAGPURI,Hindi,0.9910510778427124
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85483_10462988_CGJPCH_158997_46_5483.wav,NAGPURI,Hindi,0.7849797606468201
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10464490_CGJPPL_167455_6967_12422.wav,NAGPURI,Sadri,0.23298820853233337
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10464149_CGJPOF_263926_0_11205.wav,NAGPURI,Bhojpuri,0.44785746932029724
IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10492049_BHGGGA_363988_12915_14231.wav,NAGPURI,Nepali (individual language),0.12585462629795074
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85651_10892563_CGJPCA_124561_0_7914.wav,NAGPURI,Odia,0.42476221919059753
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10463468_CGJPMOT_363206_0_3559.wav,NAGPURI,Kullu Pahari,0.13482651114463806
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85465_10463882_CGJPPG_54314_554_7274.wav,NAGPURI,Hindi,0.10621586441993713
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81967_10386159_CGBMEX_346481_6008_18941.wav,NAGPURI,Hindi,0.3423137664794922
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10907778_CGJPHC_366326_0_13686.wav,NAGPURI,Kurukh,0.9673395752906799
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10463694_CGJPOTHER_362996_4298_13332.wav,NAGPURI,Surgujia,0.19082899391651154
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10905982_CGJPHC_366323_12261_18443.wav,NAGPURI,Kurukh,0.7019349336624146
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81967_10386174_JKJEV_370373_8807_14141.wav,NAGPURI,Hindi,0.6764808297157288
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10906843_CGJPGY_54304_18_8859.wav,NAGPURI,Kurukh,0.9708888530731201
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85907_10489848_BHGGCH_363632_13272_16251.wav,NAGPURI,Hindi,0.15465056896209717
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10462966_CGJPME_174082_9139_15463.wav,NAGPURI,Bhojpuri,0.34641551971435547
IISc_VaaniProject_S_Chhattisgarh_Jashpur_85936_10477532_KKFI_292469_12639_14067.wav,NAGPURI,Nepali (individual language),0.5437257885932922
IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10909330_CGJPMA_23196_13061_19037.wav,NAGPURI,Kurukh,0.9890052676200867
