Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_S_Bihar_Vaishali_106901_11333125_BHVSOTHER_339526_6634_16877.wav,NEPALESE,Bhojpuri,0.17549166083335876
IISc_VaaniProject_S_Bihar_Vaishali_106901_11333344_BHVSPG_25898_8_10616.wav,NEPALESE,Hindi,0.6401289105415344
IISc_VaaniProject_S_Bihar_Vaishali_106901_11349180_BHGJFA_178743_0_12405.wav,NEPALESE,Panjabi,0.6935290694236755
IISc_VaaniProject_S_Bihar_Vaishali_106901_11333339_BHVSOTHER_339604_8_11872.wav,NEPALESE,Nepali (individual language),0.9805278778076172
IISc_VaaniProject_S_Bihar_Vaishali_106901_11335082_BHVSOTHER_339508_9801_16551.wav,NEPALESE,Gujarati,0.9468477368354797
IISc_VaaniProject_S_Bihar_Vaishali_106901_11339210_BHVSST_21978_8_8983.wav,NEPALESE,Nepali (individual language),0.9677960872650146
IISc_VaaniProject_S_Bihar_Vaishali_106901_11339210_BHVSST_21978_8983_15885.wav,NEPALESE,Panjabi,0.5841211080551147
IISc_VaaniProject_S_Bihar_Vaishali_106901_11333405_BHVSPG_23169_11312_19854.wav,NEPALESE,Bengali,0.5925600528717041
IISc_VaaniProject_S_Bihar_Vaishali_106901_11326399_BHVSOTHER_339591_5887_19792.wav,NEPALESE,Gujarati,0.3001260459423065
IISc_VaaniProject_S_Bihar_Vaishali_106901_11339407_BHVSST_22865_8083_17398.wav,NEPALESE,Portuguese,0.38892069458961487
IISc_VaaniProject_S_Bihar_Vaishali_106901_11349252_BHGJHE_3140_0_4590.wav,NEPALESE,Haitian,0.3630566895008087
IISc_VaaniProject_S_Bihar_Vaishali_106901_11345358_BHVSST_23321_0_11520.wav,NEPALESE,Assamese,0.5619418621063232
IISc_VaaniProject_S_Bihar_Vaishali_106901_11349252_BHGJHE_3140_4590_18040.wav,NEPALESE,Gujarati,0.5489581227302551
IISc_VaaniProject_S_Bihar_Vaishali_106901_11333125_BHVSOTHER_339526_2_6634.wav,NEPALESE,Gujarati,0.330193430185318
IISc_VaaniProject_S_Bihar_Vaishali_106901_11345358_BHVSST_23321_11520_19172.wav,NEPALESE,Telugu,0.36027097702026367
