Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_M_BR_Purnia_23204734_1607120000_BHJMBUPS_214593_6997_13834.wav,ANGIKA,Panjabi,0.6477535367012024
IISc_VaaniProject_S_Bihar_Supaul_112662_11676299_CGBTFE_195155_9775_14288.wav,ANGIKA,Hindi,0.9917213320732117
IISc_VaaniProject_S_Bihar_Araria_66793_9681703_APVDAF_171820_38_10023.wav,ANGIKA,Urdu,0.6579914689064026
IISc_VaaniProject_S_Bihar_Bhagalpur_70137_9848937_TGNLRI_44357_0_4524.wav,ANGIKA,Panjabi,0.3021559417247772
IISc_VaaniProject_S_Bihar_Madhepura_105354_11274778_APCTBA_80230_0_5004.wav,ANGIKA,Hindi,0.9841798543930054
IISc_VaaniProject_S_Bihar_Bhagalpur_80566_10344187_BHBPMR_2250_13128_20964.wav,ANGIKA,Surgujia,0.06916071474552155
IISc_VaaniProject_M_BR_Bhagalpur_Rema95854_0717520000_TGKCS_56237_11192_18416.wav,ANGIKA,Hindi,0.9430812001228333
IISc_VaaniProject_S_Bihar_Begusarai_63740_9559921_BHBSBA_114041_3765_9205.wav,ANGIKA,Dhatki,0.06422123312950134
IISc_VaaniProject_M_BR_Bhagalpu_Kaml672318_1233080000_BHARBA_351899_417_6710.wav,ANGIKA,Hindi,0.3312429189682007
IISc_VaaniProject_M_BR_Bhagalpur_Pink75476_0816540000_MRACO_323682_331_5416.wav,ANGIKA,Hindi,0.817039966583252
IISc_VaaniProject_S_Bihar_Araria_66793_9681637_CGBTCA_79589_0_11265.wav,ANGIKA,Hindi,0.5724431276321411
IISc_VaaniProject_M_BR_Bhagalpu_Joty81436_0715470000_BHBPCA_142120_417_3215.wav,ANGIKA,Sindhi,0.3563552796840668
IISc_VaaniProject_M_BR_Bhagalpur_Babi22675_0956350000_APVEV_115977_10975_13907.wav,ANGIKA,Bengali,0.9862204790115356
IISc_VaaniProject_M_BR_Purnia_04629411_0115380000_BHJMBC_214449_9653_12448.wav,ANGIKA,Sindhi,0.7671438455581665
IISc_VaaniProject_S_Bihar_Begusarai_68389_9753760_BHBSLI_135637_9728_15458.wav,ANGIKA,Bengali,0.9859382510185242
IISc_VaaniProject_S_Bihar_Bhagalpur_73433_10019790_CGBMEX_346520_8_7488.wav,ANGIKA,Hindi,0.4033990800380707
IISc_VaaniProject_S_Bihar_Bhagalpur_79387_10264640_BHBPSR_185843_2_5462.wav,ANGIKA,Gujarati,0.9498545527458191
IISc_VaaniProject_S_Bihar_Begusarai_62414_9501608_BHBSMR_303020_7417_12952.wav,ANGIKA,Fiji Hindi,0.5409477353096008
IISc_VaaniProject_M_BR_Bhagalpu_Puja30977_1210310000_BHBPMUA_193012_725_11210.wav,ANGIKA,Hindi,0.2237497866153717
IISc_VaaniProject_S_Bihar_Begusarai_65610_9638484_BHBSRAS_276774_19_13867.wav,ANGIKA,Hindi,0.7857305407524109
IISc_VaaniProject_S_Bihar_Begusarai_68780_9770784_BHBSME_130844_45_12042.wav,ANGIKA,Gujarati,0.7543281316757202
IISc_VaaniProject_S_Bihar_Begusarai_66782_9679034_KTCMGS_145490_0_8971.wav,ANGIKA,Gujarati,0.6811626553535461
IISc_VaaniProject_M_BR_Bhagalpur_Tina53786_1040280000_KTDHTHP_172663_656_4753.wav,ANGIKA,Gujarati,0.796609103679657
IISc_VaaniProject_M_BR_Bhagalpu_Poon55822_0829230000_BHBSLI_135637_12260_16776.wav,ANGIKA,Malayalam,0.6867484450340271
IISc_VaaniProject_S_Bihar_Bhagalpur_80569_10373479_BHBPBA_14119_151_7651.wav,ANGIKA,Gujarati,0.5969748497009277
IISc_VaaniProject_S_Bihar_Madhepura_118431_12237689_BHMPBA_286585_8099_13092.wav,ANGIKA,Hindi,0.8664681911468506
IISc_VaaniProject_S_Bihar_Bhagalpur_84618_10440550_BHBPUN_13708_9639_19772.wav,ANGIKA,Bhojpuri,0.10359539091587067
IISc_VaaniProject_M_BR_Purnia_05661836_1105380000_BHGJDM_5911_7914_9824.wav,ANGIKA,Sindhi,0.3119879961013794
IISc_VaaniProject_M_BR_Bhagalpu_Anam15114_1129040000_BHBPMT_150792_1509_14616.wav,ANGIKA,Nepali (individual language),0.8339249491691589
