Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_M_MH_Dhule_Mina02966_0428100000_MRDOTHER_298953_5504_8426.wav,BHILI,Jangshung,0.02011725679039955
IISc_VaaniProject_M_MH_Dhule_Grun60648_0856470000_MRDOTHER_66036_15402_20938.wav,BHILI,Goan Konkani,0.15937566757202148
IISc_VaaniProject_M_MH_Dhule_Ravi64830_0731130000_MRDMT_29646_3936_23808.wav,BHILI,Marathi,0.8544094562530518
IISc_VaaniProject_M_MH_Dhule_Kris68987_1022300000_MRDAUR_153062_853_10837.wav,BHILI,Sindhi,0.5852667093276978
IISc_VaaniProject_M_MH_Dhule_Suni152493_1023360000_UPVNSU_55596_16064_24832.wav,BHILI,Marathi,0.9650605320930481
IISc_VaaniProject_M_MH_Dhule_Navs72601_0540410000_MRDOTHER_298266_12522_15381.wav,BHILI,Nepali (individual language),0.7287323474884033
IISc_VaaniProject_M_MH_Dhule_Suni152493_1027100000_MRDRI_29822_16064_24064.wav,BHILI,Marathi,0.9984758496284485
IISc_VaaniProject_M_MH_Dhule_Anja30898_0614400000_MRDFR_70015_1856_10730.wav,BHILI,Marathi,0.9967711567878723
IISc_VaaniProject_M_MH_Dhule_Dhav05658_1316540000_APVAT_191330_1738_7690.wav,BHILI,Telugu,0.3032265603542328
IISc_VaaniProject_M_MH_Dhule_Kris68987_1018220000_MRDMUA_68925_1706_12213.wav,BHILI,Marathi,0.5311240553855896
IISc_VaaniProject_M_MH_Dhule_Navs72601_0525370000_MRDZO_276811_4405_7626.wav,BHILI,Marathi,0.9894965291023254
IISc_VaaniProject_M_MH_Dhule_Lata59446_0738140000_MRDCA_298768_14112_15616.wav,BHILI,Amharic,0.051170967519283295
IISc_VaaniProject_M_MH_Dhule_Kalp26729_1451110000_MRDRI_257257_2485_9877.wav,BHILI,Marathi,0.9992043375968933
IISc_VaaniProject_M_MH_Dhule_Grun60648_0756540000_MRDBUPS_298811_21130_23840.wav,BHILI,Assamese,0.9889190793037415
IISc_VaaniProject_M_MH_Dhule_Kama98332_0923240000_MRDOTHER_298805_2464_3968.wav,BHILI,Bengali,0.45557889342308044
IISc_VaaniProject_M_MH_Dhule_Grun60648_0858490000_MRDFIM_75384_1578_10720.wav,BHILI,Assamese,0.662320077419281
IISc_VaaniProject_M_MH_Dhule_Mina02966_0439380000_BHARBC_282683_11989_15552.wav,BHILI,Aweer,0.011718425899744034
IISc_VaaniProject_M_MH_Dhule_Anja30898_0640500000_MRDEV_149562_9856_16341.wav,BHILI,Marathi,0.9874919652938843
IISc_VaaniProject_M_MH_Dhule_Vant29324_0655000000_MRDMT_257176_1280_4138.wav,BHILI,Nepali (individual language),0.3658899962902069
IISc_VaaniProject_M_MH_Dhule_Navs72601_0552110000_MRDAT_205179_16810_19093.wav,BHILI,Assamese,0.7908632159233093
IISc_VaaniProject_M_MH_Dhule_Rame05277_0029390000_BHGGFA_363766_3008_4554.wav,BHILI,Bidyogo,0.051255594938993454
IISc_VaaniProject_M_MH_Dhule_Rame05277_0038360000_MRDFA_298654_12800_15040.wav,BHILI,Tetun Dili,0.10012621432542801
IISc_VaaniProject_M_MH_Dhule_Ripa72088_0445420000_MRDCS_89222_6592_8288.wav,BHILI,Lao,0.8777554631233215
IISc_VaaniProject_M_MH_Dhule_Arch58544_1322250000_MRDCO_298700_1120_7541.wav,BHILI,Marathi,0.9968442916870117
IISc_VaaniProject_M_MH_Dhule_Rame05277_2352000000_BHVSFA_338523_9962_13781.wav,BHILI,Wolof,0.029580581933259964
IISc_VaaniProject_M_MH_Dhule_Arch58544_1323080000_MRDHIC_198361_320_9674.wav,BHILI,Marathi,0.9986662864685059
IISc_VaaniProject_M_MH_Dhule_Vank30965_0542250000_BHARBO_351978_12629_19808.wav,BHILI,Marathi,0.20769208669662476
IISc_VaaniProject_M_MH_Dhule_Teju15392_0853380000_MRDMU_64432_13184_16746.wav,BHILI,Uzbek,0.18094824254512787
IISc_VaaniProject_M_MH_Dhule_Vant29324_0701560000_MRDWP_140498_13941_15582.wav,BHILI,Aweer,0.04820566624403
IISc_VaaniProject_M_MH_Dhule_Utta27537_1746480000_MRDMR_257290_14698_16234.wav,BHILI,Luxembourgish,0.28656005859375
IISc_VaaniProject_M_MH_Dhule_Teju15392_0858450000_MRDTES_298113_7424_12245.wav,BHILI,Marathi,0.4913720190525055
IISc_VaaniProject_M_MH_Dhule_Teju15392_0851440000_JKJFO_150935_17173_20992.wav,BHILI,Wolof,0.11092722415924072
IISc_VaaniProject_M_MH_Dhule_Navs72601_0535270000_MRDIR_298432_10421_12853.wav,BHILI,Pushto,0.990119457244873
