Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_M_CG_Sukma_Bhun26589_0747170000_CGSKBO_372343_2656_5130.wav,DURUWA,Turkish,0.059422917664051056
IISc_VaaniProject_M_CG_Sukma_Mila89238_1134170000_CGSKMA_304682_14080_17216.wav,DURUWA,Bengali,0.9996541738510132
IISc_VaaniProject_M_CG_Sukma_para54196_1158280000_CGSKMEC_372672_5098_21504.wav,DURUWA,Bengali,0.9993708729743958
IISc_VaaniProject_M_CG_Sukma_Mila89238_1115140000_CGSKMT_372737_20224_21248.wav,DURUWA,Turkish,0.9883040189743042
IISc_VaaniProject_M_CG_Sukma_Mila89238_1128510000_TGKFOS_41635_10261_14016.wav,DURUWA,Bengali,0.9893670678138733
IISc_VaaniProject_M_CG_Sukma_para54196_1209390000_CGSKDM_198571_15767_21824.wav,DURUWA,Bengali,0.9990144968032837
IISc_VaaniProject_M_CG_Sukma_Mila89238_1106020000_CGSKOTHER_304890_11317_20278.wav,DURUWA,Bengali,0.999617338180542
IISc_VaaniProject_M_CG_Sukma_Mila89238_1109580000_BHGGAT_363425_9130_20405.wav,DURUWA,Bengali,0.9955407977104187
IISc_VaaniProject_M_CG_Sukma_Bhun26589_0750490000_CGSKBO_304386_4832_9664.wav,DURUWA,Slovenian,0.49402669072151184
IISc_VaaniProject_M_CG_Sukma_para54196_1152380000_CGSKFR_26035_1514_15977.wav,DURUWA,Bengali,0.9991401433944702
IISc_VaaniProject_M_CG_Sukma_Mila89238_1120380000_CGSKOTHER_304764_6016_7168.wav,DURUWA,Bengali,0.9291425943374634
IISc_VaaniProject_M_CG_Sukma_Mila89238_1125010000_CGSKRAS_188683_3242_5568.wav,DURUWA,Tibetan,0.9927493333816528
IISc_VaaniProject_M_CG_Sukma_Mila89238_1118290000_CGSKFT_372465_2709_4544.wav,DURUWA,Assamese,0.588731050491333
IISc_VaaniProject_M_CG_Sukma_Mila89238_1120380000_CGSKOTHER_304764_7978_11178.wav,DURUWA,Turkish,0.1407071202993393
IISc_VaaniProject_M_CG_Sukma_para54196_1149350000_BHVSCOHW_338402_5920_20672.wav,DURUWA,Bengali,0.9993836879730225
IISc_VaaniProject_M_CG_Sukma_Mila89238_1115140000_CGSKMT_372737_11413_14485.wav,DURUWA,Bengali,0.9992877840995789
IISc_VaaniProject_M_CG_Sukma_para54196_1157420000_CGKDOTHER_100301_15511_21865.wav,DURUWA,Bengali,0.9986275434494019
IISc_VaaniProject_M_CG_Sukma_Bhun26589_0720110000_TGKUN_203038_10176_12373.wav,DURUWA,Turkmen,0.39022207260131836
