Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_S_Jharkhand_Sahebganj_129928_12349042_JKSBMQ_54480_8355_16946.wav,SANTALI,Mundari,0.43588942289352417
IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0720270000_JKSBOTHER_328677_1408_3520.wav,SANTALI,Assamese,0.5032404661178589
IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0723480000_JKSBOTHER_328423_11466_16618.wav,SANTALI,Panjabi,0.9744566082954407
IISc_VaaniProject_M_JH_Sahebgan_04804114_1301480000_JKSBMQ_54450_2538_4106.wav,SANTALI,Maori,0.020614098757505417
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1504060000_JKSBTA_329027_22378_24490.wav,SANTALI,Marathi,0.169403538107872
IISc_VaaniProject_M_JH_Sahebgan_52152487_0646320000_JKSBOTHER_328662_17216_20064.wav,SANTALI,Assamese,0.7480909824371338
IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1544240000_BHJMCYR_142248_2012_10177.wav,SANTALI,Bengali,0.2976161241531372
IISc_VaaniProject_M_JH_Sahebgan_suni36960_0221130000_APVCYR_74609_512_12288.wav,SANTALI,Kurukh,0.37668177485466003
IISc_VaaniProject_S_Jharkhand_Sahebganj_129928_12351484_JKSBMQ_54483_7557_18520.wav,SANTALI,Santali,0.615561306476593
IISc_VaaniProject_S_Jharkhand_Sahebganj_132722_12652373_JKSBDM_55896_0_6350.wav,SANTALI,Moken,0.22533653676509857
IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1510160000_JKSBAT_327983_541_8180.wav,SANTALI,Kannada,0.30408889055252075
IISc_VaaniProject_M_JH_Sahebgan_Manj16828_1118440000_JKSBSR_193138_9705_13955.wav,SANTALI,Kannada,0.6954175233840942
IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12127449_GOB_241073_8643_20654.wav,SANTALI,Hindi,0.9954602122306824
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1509510000_TGKSK_217933_8010_18997.wav,SANTALI,Telugu,0.36899369955062866
IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12283302_JKSBHO_108908_3290_16295.wav,SANTALI,Hindi,0.986112654209137
IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0730520000_JKSBBO_126502_17610_24661.wav,SANTALI,Telugu,0.609193742275238
IISc_VaaniProject_S_Jharkhand_Sahebganj_129871_12340206_JKSBHO_285288_4767_18537.wav,SANTALI,Santali,0.4885121285915375
IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0716510000_TGKOF_203060_17728_20682.wav,SANTALI,Malayalam,0.5415124893188477
IISc_VaaniProject_M_JH_Sahebgan_suni36960_0218110000_KTBBK_320282_192_9728.wav,SANTALI,Manipuri,0.03761938214302063
IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1517170000_CGBTFS_100859_818_10556.wav,SANTALI,Kannada,0.2818223536014557
IISc_VaaniProject_S_Jharkhand_Sahebganj_129871_12340661_JKSBHEC_151023_0_4842.wav,SANTALI,Santali,0.3204885423183441
IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1458230000_JKSBHO_103972_2355_8376.wav,SANTALI,Telugu,0.7805433869361877
IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12127449_GOB_241073_110_8506.wav,SANTALI,Hindi,0.9895658493041992
IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1510160000_JKSBAT_327983_16419_22611.wav,SANTALI,Hindi,0.042689718306064606
IISc_VaaniProject_M_JH_Sahebgan_BABL92574_0847020000_CGBTEV_96614_874_4928.wav,SANTALI,Kannada,0.8183169364929199
IISc_VaaniProject_S_Jharkhand_Sahebganj_132740_12647679_JKSBAUR_241274_10322_19929.wav,SANTALI,Telugu,0.3736072778701782
IISc_VaaniProject_M_JH_Sahebgan_suni36960_0138420000_JKSBMT_49339_11157_17920.wav,SANTALI,Santali,0.18838968873023987
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1533220000_JKSBAC_327945_2634_3744.wav,SANTALI,Norwegian Nynorsk,0.09648377448320389
IISc_VaaniProject_S_Jharkhand_Sahebganj_132740_12638862_JKSBAC_327955_0_9550.wav,SANTALI,Sora,0.06802761554718018
IISc_VaaniProject_M_JH_Sahebgan_BABL92574_1520140000_WBMLRE_8877_1216_2741.wav,SANTALI,Kannada,0.3634752035140991
IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0720270000_JKSBOTHER_328677_14538_24661.wav,SANTALI,Panjabi,0.9714962840080261
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1532020000_BHJHBA_9414_13813_18133.wav,SANTALI,Sindhi,0.2006879597902298
IISc_VaaniProject_M_JH_Sahebgan_Manj16828_1132300000_JKSBOTHER_328571_2368_15209.wav,SANTALI,Santali,0.10005160421133041
IISc_VaaniProject_S_Jharkhand_Sahebganj_125096_12079759_JKSBRE_126295_0_9070.wav,SANTALI,Santali,0.8230612874031067
IISc_VaaniProject_M_JH_Sahebgan_BABL92574_0847020000_CGBTEV_96614_7861_13824.wav,SANTALI,Assamese,0.12428233027458191
IISc_VaaniProject_M_JH_Sahebgan_04804114_1252200000_KTCMDM_300711_19242_20618.wav,SANTALI,Malay (individual language),0.24727793037891388
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1506170000_JKSBRE_328742_2026_4490.wav,SANTALI,Telugu,0.40138882398605347
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1500400000_JKSBFR_51647_1674_4533.wav,SANTALI,Panjabi,0.49609076976776123
IISc_VaaniProject_M_JH_Sahebgan_BABL92574_1257000000_APCTFIM_82274_11189_13493.wav,SANTALI,Malay (individual language),0.07606250047683716
IISc_VaaniProject_M_JH_Sahebgan_BABL92574_1521530000_JKSBSC_51853_5130_6197.wav,SANTALI,Burmese,0.02625538408756256
IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0726050000_CGKDBIS_83871_10560_12266.wav,SANTALI,Sinhala,0.3816911578178406
IISc_VaaniProject_S_AP_Chittoor_124641_12574561_APCTVEM_162858_10816_20855.wav,SANTALI,Telugu,0.9866672158241272
IISc_VaaniProject_S_Jharkhand_Sahebganj_125096_12077308_JKSBOTHER_328873_7622_10824.wav,SANTALI,Santali,0.5582329034805298
IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0738000000_JKSBFM_328250_4874_6357.wav,SANTALI,Aheri Gondi,0.35998570919036865
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1514270000_BHGJHIS_186622_11957_14517.wav,SANTALI,Assamese,0.9850134253501892
IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12125919_CGBTHEC_195158_5704_20470.wav,SANTALI,Hindi,0.9956012964248657
IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12126185_CGBTIM_301828_8_8709.wav,SANTALI,Hindi,0.9948438405990601
IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1459570000_UPVNVEM_123211_4213_7914.wav,SANTALI,Telugu,0.377957284450531
IISc_VaaniProject_S_AP_Chittoor_124641_12565236_APCTSU_27744_532_9283.wav,SANTALI,Sinhala,0.7015061974525452
IISc_VaaniProject_M_JH_Sahebgan_31110132_1157050000_TGKOF_203060_544_4106.wav,SANTALI,Yoruba,0.05894963815808296
IISc_VaaniProject_S_AP_Chittoor_124641_12570484_APCTTE_887_13129_20393.wav,SANTALI,Kannada,0.6462088227272034
IISc_VaaniProject_S_Jharkhand_Sahebganj_129928_12349958_JKSBMA_54512_987_12915.wav,SANTALI,Mundari,0.22253653407096863
IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12557869_JKSBSL_288446_0_12578.wav,SANTALI,Hindi,0.9921907782554626
IISc_VaaniProject_S_Jharkhand_Sahebganj_132722_12640283_JKSBBOR_138899_7544_14125.wav,SANTALI,Uma' Lasan,0.0177605077624321
