Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_M_CG_Sarguja_Reen56852_0539080000_CGSGDM_126101_16512_19552.wav,SURGUJIA,Hindi,0.23362956941127777
IISc_VaaniProject_M_CG_Sarguja_Akan14895_0958430000_CGSGMEC_55464_4586_6624.wav,SURGUJIA,Bengali,0.25111156702041626
IISc_VaaniProject_M_CG_Sarguja_Lily73069_1615370000_CGBMEX_346522_7765_11477.wav,SURGUJIA,Hindi,0.9076418876647949
IISc_VaaniProject_M_CG_Sarguja_Resh48259_2018280000_CGSGMR_20589_10325_14805.wav,SURGUJIA,Panjabi,0.9279602766036987
IISc_VaaniProject_M_CG_Sarguja_Nila69123_1353160000_CGBTDAF_206408_9152_13269.wav,SURGUJIA,Hindi,0.059100084006786346
IISc_VaaniProject_M_CG_Sarguja_Sita65199_1032120000_BHVSEV_212744_5717_6837.wav,SURGUJIA,Sindhi,0.2711847126483917
IISc_VaaniProject_M_CG_Sarguja_Reen56852_0545530000_CGSGHC_87276_20800_23808.wav,SURGUJIA,Hindi,0.8554171323776245
IISc_VaaniProject_M_CG_Sarguja_Reen56852_0541090000_KTDHSC_2519_9760_14549.wav,SURGUJIA,Hindi,0.8045430779457092
IISc_VaaniProject_M_CG_Sarguja_Reen56852_0556040000_APVEV_115978_1578_6805.wav,SURGUJIA,Hindi,0.9559473395347595
IISc_VaaniProject_M_CG_Sarguja_Lily73069_1638580000_CGSGHC_93724_10645_15680.wav,SURGUJIA,Hindi,0.8605488538742065
IISc_VaaniProject_M_CG_Sarguja_Saku41535_0621020000_CGSGGY_27827_1787_20062.wav,SURGUJIA,Kumaoni,0.4309031665325165
IISc_VaaniProject_M_CG_Sarguja_Nare52659_0837340000_CGSGTE_125754_12373_14442.wav,SURGUJIA,Hausa,0.11767279356718063
IISc_VaaniProject_M_CG_Sarguja_Reen56852_0551480000_UPVNHC_147120_21461_23552.wav,SURGUJIA,Marathi,0.36415913701057434
IISc_VaaniProject_M_CG_Sarguja_Vino58963_0257390000_CGSGCO_20636_15185_18692.wav,SURGUJIA,Hindi,0.9277320504188538
IISc_VaaniProject_M_CG_Sarguja_Lily73069_1626140000_CGSGMOT_140801_1578_8021.wav,SURGUJIA,Magahi,0.17390353977680206
IISc_VaaniProject_M_CG_Sarguja_Padm42051_1953390000_BHVSBUPS_338183_9171_14175.wav,SURGUJIA,Kurukh,0.2830687165260315
IISc_VaaniProject_M_CG_Sarguja_20843748_1607340000_CGSGMR_53078_9218_13792.wav,SURGUJIA,Hindi,0.9916642904281616
IISc_VaaniProject_M_CG_Sarguja_Reen56852_0558010000_CGSGZO_55336_1941_6240.wav,SURGUJIA,Hindi,0.9903973340988159
IISc_VaaniProject_M_CG_Sarguja_Ravi43453_0700100000_BHECHCO_356613_6613_8424.wav,SURGUJIA,Bhojpuri,0.12173052132129669
IISc_VaaniProject_M_CG_Sarguja_Sukh95936_0359200000_APCTFAR_264543_661_2709.wav,SURGUJIA,Hindi,0.4525575339794159
IISc_VaaniProject_M_CG_Sarguja_Sukh95936_0420250000_WBPLTES_156851_8448_10165.wav,SURGUJIA,Bosnian,0.06391946971416473
IISc_VaaniProject_M_CG_Sarguja_Mamt75199_1657160000_CGSGTNT_195204_18848_20992.wav,SURGUJIA,Jamamadí,0.22267934679985046
IISc_VaaniProject_M_CG_Sarguja_Susi47568_1030150000_CGSGFOS_54547_18761_23296.wav,SURGUJIA,Hindi,0.9500733613967896
IISc_VaaniProject_M_CG_Sarguja_Nila69123_2118120000_CGSGEC_293237_17930_24064.wav,SURGUJIA,Hindi,0.4905761480331421
IISc_VaaniProject_M_CG_Sarguja_heml01450_0502360000_CGSGOTHER_293150_7894_13235.wav,SURGUJIA,Hindi,0.6615388989448547
IISc_VaaniProject_M_CG_Sarguja_59085291_0459000000_CGSGSH_19732_12457_14338.wav,SURGUJIA,Panjabi,0.4239514470100403
IISc_VaaniProject_M_CG_Sarguja_Sukh95936_0404450000_CGSGOTHER_293253_8202_11712.wav,SURGUJIA,Urdu,0.37847355008125305
IISc_VaaniProject_M_CG_Sarguja_Susi47568_1027420000_CGSGMOT_119597_13165_18390.wav,SURGUJIA,Sanskrit,0.17860636115074158
IISc_VaaniProject_M_CG_Sarguja_Sita65199_1036240000_CGSGAT_27852_10965_14869.wav,SURGUJIA,Hindi,0.9055131077766418
IISc_VaaniProject_M_CG_Sarguja_Padm42051_2014270000_UPVNFL_203466_1137_15836.wav,SURGUJIA,Nepali (individual language),0.0792112946510315
IISc_VaaniProject_M_CG_Sarguja_Arch95826_0536530000_CGSGTES_54594_2949_14008.wav,SURGUJIA,Hindi,0.896242618560791
IISc_VaaniProject_M_CG_Sarguja_Chan41358_0507340000_CGSGOTHER_195757_19232_22048.wav,SURGUJIA,Hindi,0.7996084690093994
IISc_VaaniProject_M_CG_Sarguja_Lily73069_1621300000_CGBMEX_346513_18752_22272.wav,SURGUJIA,Hindi,0.5005577206611633
IISc_VaaniProject_M_CG_Sarguja_Reen56852_0529410000_CGSGMAO_150168_11530_14826.wav,SURGUJIA,Hindi,0.42834463715553284
IISc_VaaniProject_M_CG_Sarguja_Lily73069_1607020000_CGSGSP_10623_15424_20032.wav,SURGUJIA,Fiji Hindi,0.4560445249080658
IISc_VaaniProject_M_CG_Sarguja_Vino58963_0308260000_BHWP_134162_16230_22546.wav,SURGUJIA,Bengali,0.5704134106636047
IISc_VaaniProject_M_CG_Sarguja_Lily73069_1638150000_KTDKAPP_219727_19093_21824.wav,SURGUJIA,Hindi,0.9629322290420532
IISc_VaaniProject_M_CG_Sarguja_Susi47568_1006140000_SC_264391_13955_20085.wav,SURGUJIA,Hindi,0.9174222350120544
IISc_VaaniProject_M_CG_Sarguja_Shiv39322_0443060000_CGSGDAF_81247_18240_22016.wav,SURGUJIA,Fiji Hindi,0.7287732362747192
