Filename,Asserted Language,Detected Language,Probability
IISc_VaaniProject_M_KA_DakshinK_Prat30819_1659010000_KTDKAFAR_229508_905_20073.wav,TULU,Telugu,0.9615326523780823
IISc_VaaniProject_M_KA_DakshinK_Shre66144_1027300000_BHGGEV_363756_4960_7850.wav,TULU,Romanian,0.10286898910999298
IISc_VaaniProject_M_KA_DakshinK_Mama43326_1210050000_CGKDFM_124052_3520_8768.wav,TULU,Sinhala,0.13166677951812744
IISc_VaaniProject_M_KA_DakshinK_Kara39213_1056100000_KTDKATR_219915_1880_12643.wav,TULU,Kannada,0.9781297445297241
IISc_VaaniProject_M_KA_DakshinK_Shre72007_0554000000_BHVSFAR_228383_5408_13344.wav,TULU,Kannada,0.5863628387451172
IISc_VaaniProject_M_KA_DakshinK_Suha59538_0913590000_KTDKACG_213792_10272_11296.wav,TULU,Somali,0.3055954873561859
IISc_VaaniProject_M_KA_DakshinK_Dhee28298_1324010000_OTHER_264454_20247_22674.wav,TULU,Marathi,0.45500704646110535
IISc_VaaniProject_M_KA_DakshinK_Avis05990_1452480000_UPVNFN_199967_11853_17078.wav,TULU,Telugu,0.899100661277771
IISc_VaaniProject_M_KA_DakshinK_Shas29581_1212450000_WBMLRE_8877_6613_11541.wav,TULU,Telugu,0.9239612221717834
IISc_VaaniProject_M_KA_DakshinK_86395967_0614180000_BHECHCO_356612_17109_23040.wav,TULU,Telugu,0.6585263609886169
IISc_VaaniProject_M_KA_DakshinK_Shre72007_0448310000_KTDKABC_145190_12608_16458.wav,TULU,Tamil,0.928637683391571
IISc_VaaniProject_M_KA_DakshinK_Praj14584_1240430000_KTDKAML_277055_14912_18112.wav,TULU,Telugu,0.992651641368866
IISc_VaaniProject_M_KA_DakshinK_45498049_1635310000_KTDKAVEM_229823_12928_14101.wav,TULU,Shona,0.14510203897953033
IISc_VaaniProject_M_KA_DakshinK_Shre66144_1025110000_KTDKACH_299485_15306_18538.wav,TULU,Sinhala,0.6139621734619141
IISc_VaaniProject_M_KA_DakshinK_Shas29581_1227210000_CGBTBIS_207924_5653_9237.wav,TULU,Malayalam,0.6162230968475342
IISc_VaaniProject_M_KA_DakshinK_Praj14584_1232300000_KTDKABO_299612_5305_10309.wav,TULU,Telugu,0.23742686212062836
IISc_VaaniProject_M_KA_DakshinK_59975152_0051160000_KTDKARI_27207_6421_12565.wav,TULU,Sinhala,0.3448970317840576
IISc_VaaniProject_M_KA_DakshinK_Kara39213_1024440000_BHVSCOHW_338409_743_15580.wav,TULU,Kannada,0.9358331561088562
IISc_VaaniProject_M_KA_DakshinK_31282273_1144580000_KTDKAOTHER_204699_11136_16931.wav,TULU,Sinhala,0.5255412459373474
IISc_VaaniProject_M_KA_DakshinK_Shiv38129_1323340000_KTDKAFE_299361_2026_19200.wav,TULU,Kannada,0.9851771593093872
IISc_VaaniProject_M_KA_DakshinK_Nand12171_1139280000_KTBBA_320353_1472_16032.wav,TULU,Kannada,0.9118696451187134
IISc_VaaniProject_M_KA_DakshinK_Shre72007_1519250000_KTDKAST_34224_288_6218.wav,TULU,Telugu,0.9638425707817078
IISc_VaaniProject_M_KA_DakshinK_Shre66144_1235130000_KTDKAGOB_237776_4896_9280.wav,TULU,Sinhala,0.9829384684562683
IISc_VaaniProject_M_KA_DakshinK_SAME78099_1554320000_KTDKAPL_54214_847_12155.wav,TULU,Telugu,0.9521728157997131
IISc_VaaniProject_M_KA_DakshinK_Vars61783_0946410000_KTOTHER_205016_12949_15338.wav,TULU,Telugu,0.2883519232273102
