File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Moha32651_0513430000_BHVSDAF_338418_17162_20138.wav,M,BEARYBASHE,Sinhala,0.8240018486976624
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_M_KA_DakshinKannada_Muha12127_0721550000_TGKPP_101692_501_12173.wav,M,BEARYBASHE,Tamil,0.6572032570838928
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Anas20176_1920080000_KTDKAGY_20985_8757_12565.wav,M,BEARYBASHE,Kannada,0.3466472029685974
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Ayis51516_1802390000_PG_104375_2058_10112.wav,M,BEARYBASHE,Tamil,0.9935367703437805
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Moha18636_0953250000_MRACO_323677_1461_7157.wav,M,BEARYBASHE,Kannada,0.9858309626579285
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Ayis47483_1518270000_BHARBO_351966_874_9578.wav,M,BEARYBASHE,Telugu,0.8302831649780273
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Moha18636_1021570000_CGBTCG_279898_7989_11434.wav,M,BEARYBASHE,Malayalam,0.21711182594299316
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Ayis47483_1621420000_BHECHEV_121001_1242_4156.wav,M,BEARYBASHE,Kannada,0.8284648060798645
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_66319_9686299_TGNLHE_15321_37_12121.wav,S,BEARYBASHE,Mullu Kurumba,0.08809500932693481
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_M_KA_DakshinKannada_Muha12127_0545480000_KTDKAJAT_79917_9072_12505.wav,M,BEARYBASHE,Telugu,0.9851974844932556
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_66681_9722139_TGKHC_53696_0_7670.wav,S,BEARYBASHE,Malayalam,0.4357492923736572
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_114842_11776964_KTBEST_341650_0_10209.wav,S,BEARYBASHE,Hindi,0.9089507460594177
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Muha57048_1502050000_KTDKAOTHER_299542_104_17623.wav,M,BEARYBASHE,Kannada,0.8845515251159668
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Ayis51516_1734110000_KTDKADA_246565_928_2613.wav,M,BEARYBASHE,Kannada,0.7354429364204407
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Aham85613_1519540000_KTDKABC_145192_682_11093.wav,M,BEARYBASHE,Malayalam,0.5250364542007446
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_M_KA_DakshinKannada_Muha12127_0851360000_KTDKAHO_27431_23833_25720.wav,M,BEARYBASHE,Tamil,0.986506462097168
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Moha32651_0524200000_APVEL_74688_10133_16949.wav,M,BEARYBASHE,Malayalam,0.6418508291244507
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Ayis47483_1626590000_CGBTCO_89127_1532_21083.wav,M,BEARYBASHE,Kannada,0.9909205436706543
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Moha18636_1018210000_JKJCO_370283_7722_13738.wav,M,BEARYBASHE,Tamil,0.4831022024154663
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Moha32651_0525560000_KTDKAAC_178599_7509_14528.wav,M,BEARYBASHE,Sinhala,0.9287289977073669
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_114842_11775116_KTBEST_341670_0_9838.wav,S,BEARYBASHE,Hindi,0.9822285771369934
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_66319_9681276_TGNLBO_192315_2_8666.wav,S,BEARYBASHE,Malayalam,0.3884149491786957
https://vaani.iisc.ac.in/Audios/DakshinK/IISc_VaaniProject_M_KA_DakshinK_Moha32651_0546270000_KTDKAAUR_237698_405_16789.wav,M,BEARYBASHE,Kannada,0.793086588382721
