File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Desh73633_1506090000_CGSKHE_304768_1237_4192.wav,M,GONDI,Sinhala,0.16824409365653992
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_46978407_0716160000_CGBTFR_270657_882_5236.wav,M,GONDI,Kannada,0.8692308664321899
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Desh73633_1457160000_CGSKOTHER_304558_12992_16426.wav,M,GONDI,Somali,0.041067708283662796
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Dish10193_0437500000_CGSKWAF_18841_5045_6848.wav,M,GONDI,Sinhala,0.07602296024560928
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bavn09552_0609210000_KTCMFN_248837_12906_16170.wav,M,GONDI,Oromo,0.5461944937705994
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Desh73633_1502090000_BHJMCC_162228_19722_21504.wav,M,GONDI,Maori,0.038264017552137375
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Dish10193_0518420000_CGSKPL_129258_885_7957.wav,M,GONDI,Aheri Gondi,0.5741280913352966
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhim16473_0543160000_CGBTCA_79589_15712_18154.wav,M,GONDI,Gunwinggu,0.1498275250196457
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhim16473_1557230000_TGNLREI_203829_4960_11690.wav,M,GONDI,Telugu,0.8024998307228088
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Saro32104_0746070000_KTDKAEV_62647_213_12448.wav,M,GONDI,Telugu,0.4568520784378052
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mang32629_1839420000_CGSKOTHER_304731_18826_20181.wav,M,GONDI,Gunwinggu,0.17128658294677734
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhim16473_0508180000_TGKPR_211559_5813_10603.wav,M,GONDI,Wolof,0.03814464807510376
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Dish10193_0503490000_CGSKTES_216912_10976_16106.wav,M,GONDI,Aheri Gondi,0.078921839594841
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Desh73633_1448110000_CGSKHE_304562_8533_12821.wav,M,GONDI,Gunwinggu,0.19438734650611877
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhim16473_1559190000_CGBTEV_241622_11338_24576.wav,M,GONDI,Aheri Gondi,0.44753578305244446
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Some64088_0725470000_CGSKAC_274647_17802_20106.wav,M,GONDI,Malayalam,0.162977397441864
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhim16473_0533340000_CGSKGA_216334_469_13054.wav,M,GONDI,Telugu,0.9380480051040649
