File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11660067_BHUN_113871_9437_17874.wav,S,KURUMALI,Hindi,0.9635968804359436
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11786492_UPVNMUA_11167_8534_14943.wav,S,KURUMALI,Hindi,0.950790524482727
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12284965_BHMZLK_30289_6204_10579.wav,S,KURUMALI,Marathi,0.9258773326873779
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11651018_BHLK_113973_11251_19515.wav,S,KURUMALI,Hindi,0.9955508708953857
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11616963_BHMZOTHER_376011_8554_20440.wav,S,KURUMALI,Marathi,0.9994633793830872
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11841727_BHMZCS_374789_7575_14948.wav,S,KURUMALI,Hindi,0.9676541090011597
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11619173_BHMZOTHER_376026_12630_20959.wav,S,KURUMALI,Marathi,0.9995235204696655
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12095784_TGNLBO_192315_5150_12288.wav,S,KURUMALI,Marathi,0.03461989015340805
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11645622_BHMZTE_2921_9766_18639.wav,S,KURUMALI,Hindi,0.9565923810005188
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12012701_BHMZSU_30973_11564_18951.wav,S,KURUMALI,Marathi,0.889247715473175
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11774634_BHARBA_351883_6224_10349.wav,S,KURUMALI,Urdu,0.7232880592346191
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11771284_BHARCH_352199_15418_19620.wav,S,KURUMALI,Hindi,0.9208790063858032
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12085340_BHFO_134911_0_3432.wav,S,KURUMALI,Bhatri,0.17700384557247162
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_11935663_CGBMEX_346512_8_9764.wav,S,KURUMALI,Marathi,0.9989093542098999
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11613428_BHMZOTHER_376007_0_9026.wav,S,KURUMALI,Marathi,0.9994773268699646
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11655139_TGKUN_203038_6103_20201.wav,S,KURUMALI,Hindi,0.9966272115707397
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11615112_pic_135_8_8341.wav,S,KURUMALI,Marathi,0.9994364380836487
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11627492_BHGGFE_363836_10744_20306.wav,S,KURUMALI,Marathi,0.9994219541549683
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11647830_TGKSEP_83936_9640_18038.wav,S,KURUMALI,Hindi,0.9866690635681152
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11841941_BHMZCS_374782_7604_15537.wav,S,KURUMALI,Hindi,0.9509290456771851
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12008713_BHMZSH_376258_143_4163.wav,S,KURUMALI,Nepali (individual language),0.5534644722938538
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11770110_BHARBC_352029_0_6714.wav,S,KURUMALI,Urdu,0.7811453938484192
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11595019_BHMZOF_376117_0_8718.wav,S,KURUMALI,Marathi,0.9991732239723206
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12093479_BHMAO_134247_0_7911.wav,S,KURUMALI,Kanjari,0.014550482854247093
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11779811_APKROTHER_303788_11345_18223.wav,S,KURUMALI,Hindi,0.991333544254303
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12090844_TGNLHE_15321_7496_13334.wav,S,KURUMALI,Bengali,0.04801168292760849
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12292819_BHMZLI_375801_16490_21100.wav,S,KURUMALI,Nepali (individual language),0.6019739508628845
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12256923_BHMZHA_375604_9608_20458.wav,S,KURUMALI,Marathi,0.9992706179618835
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11650987_BHGJSWB_178760_5349_17528.wav,S,KURUMALI,Hindi,0.9536632895469666
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11612775_BHMZTE_2917_8_6072.wav,S,KURUMALI,Marathi,0.9995442032814026
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12290704_BHMZOTHER_374758_11564_18187.wav,S,KURUMALI,Marathi,0.9114787578582764
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11778048_BHARCA_352153_8740_18218.wav,S,KURUMALI,Urdu,0.5962506532669067
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11650987_BHGJSWB_178760_278_5349.wav,S,KURUMALI,Hindi,0.8968103528022766
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11787485_BHVSBUPS_338183_9043_14218.wav,S,KURUMALI,Hindi,0.9048985838890076
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12286128_BHMZOTHER_374533_6_8523.wav,S,KURUMALI,Nepali (individual language),0.764925479888916
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11618245_BHMZOTHER_376016_0_5646.wav,S,KURUMALI,Marathi,0.9994540810585022
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12089987_BHJHAC_137521_7209_10583.wav,S,KURUMALI,Marathi,0.30885830521583557
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12012701_BHMZSU_30973_0_6268.wav,S,KURUMALI,Assamese,0.30482929944992065
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12095009_TGNLRAS_14378_0_14034.wav,S,KURUMALI,Bhatri,0.0685352310538292
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11619206_BHMZOTHER_376028_7716_19178.wav,S,KURUMALI,Marathi,0.9991255402565002
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12090844_TGNLHE_15321_0_7496.wav,S,KURUMALI,Kurukh,0.06414078176021576
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12090710_TGKSC_8400_0_7434.wav,S,KURUMALI,Hajong,0.30400753021240234
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11612310_BHMZOTHER_375612_0_9539.wav,S,KURUMALI,Marathi,0.9982708692550659
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11774329_BHARCLT_352279_6012_10627.wav,S,KURUMALI,Urdu,0.8421968817710876
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11767693_BHARBU_352068_8321_14453.wav,S,KURUMALI,Hindi,0.7969571948051453
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12093003_TGKBOR_79685_0_7054.wav,S,KURUMALI,Bhili,0.049967970699071884
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11776951_BHECHCOHW_358416_8_7276.wav,S,KURUMALI,Hindi,0.384357213973999
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11646385_BHGJDOA_155714_0_10923.wav,S,KURUMALI,Hindi,0.9936581254005432
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11797791_CGBTCH_207517_10625_18323.wav,S,KURUMALI,Hindi,0.8642368912696838
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11772756_BHECHBU_356424_0_8853.wav,S,KURUMALI,Hindi,0.9851489067077637
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11786492_UPVNMUA_11167_0_8310.wav,S,KURUMALI,Urdu,0.7336785197257996
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12194838_BHMZZO_376365_177_9092.wav,S,KURUMALI,Assamese,0.606182873249054
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11774329_BHARCLT_352279_0_5690.wav,S,KURUMALI,Hindi,0.8868657946586609
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11618245_BHMZOTHER_376016_5649_14244.wav,S,KURUMALI,Marathi,0.9995180368423462
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12288287_BHMZOTHER_286942_93_9026.wav,S,KURUMALI,Marathi,0.5427840352058411
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11801978_CGBMEX_346514_13800_18880.wav,S,KURUMALI,Hindi,0.9959923624992371
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11614182_BHMZOTHER_375999_8873_19349.wav,S,KURUMALI,Marathi,0.9993257522583008
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11614779_BHMZOTHER_376216_6670_20794.wav,S,KURUMALI,Marathi,0.999505877494812
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12091988_BHGJGT_4791_0_8648.wav,S,KURUMALI,Bhatri,0.051764823496341705
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_125396_12095824_TGKTES_53632_7169_12132.wav,S,KURUMALI,Bhili,0.04713146761059761
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11778794_BHVSBO_338120_11348_17952.wav,S,KURUMALI,Hindi,0.9934068918228149
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11647892_BHJHWP_16421_10601_20061.wav,S,KURUMALI,Hindi,0.9004392027854919
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11655449_pic_66_10150_19204.wav,S,KURUMALI,Hindi,0.9943618774414062
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12012274_BHMZSH_28504_5291_9857.wav,S,KURUMALI,Gujarati,0.7476387619972229
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112160_11659528_BHLI_113833_8_10766.wav,S,KURUMALI,Hindi,0.9962583780288696
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12282197_BHMZLI_375804_110_11881.wav,S,KURUMALI,Gujarati,0.38277557492256165
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12258012_BHMZIT_375723_51_3625.wav,S,KURUMALI,Marathi,0.3134419918060303
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12281457_BHMZOF_376126_76_9811.wav,S,KURUMALI,Marathi,0.9994137287139893
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11782775_BHVSCG_212916_5_5184.wav,S,KURUMALI,Hindi,0.3632189929485321
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111337_11619951_BHMZOTHER_376002_8020_19671.wav,S,KURUMALI,Marathi,0.999336302280426
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12204660_pic_114_220_10218.wav,S,KURUMALI,Marathi,0.9822668433189392
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_112052_11799709_CGBTDAF_206402_8_10123.wav,S,KURUMALI,Hindi,0.9937520623207092
https://vaani.iisc.ac.in/Audios/Muzaffarpur/IISc_VaaniProject_S_Bihar_Muzaffarpur_111340_12014303_BHMZSC_287087_10536_17317.wav,S,KURUMALI,Marathi,0.9977635145187378
