File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10463279_CGJPOTHER_10101_13540_19075.wav,S,NAGPURI,Bhojpuri,0.4946550726890564
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85936_10477539_KKFO_292460_0_4708.wav,S,NAGPURI,Surgujia,0.17256778478622437
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85729_10473781_BHGJWAF_185450_498_10981.wav,S,NAGPURI,Hindi,0.0544251874089241
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_81967_10387676_CGJPBR_23053_0_8893.wav,S,NAGPURI,Panjabi,0.537107527256012
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85651_10892582_CGJPCG_176357_10680_20346.wav,S,NAGPURI,Bengali,0.27056342363357544
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_81312_10463522_CGJPMT_25707_13770_19440.wav,S,NAGPURI,Bhojpuri,0.192674458026886
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85598_10467513_CGJPSR_268200_7465_19735.wav,S,NAGPURI,Hindi,0.9099592566490173
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_81316_10907510_CGJPHC_366304_20_10972.wav,S,NAGPURI,Kurukh,0.8478965163230896
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10463310_CGJPPG_129972_0_4455.wav,S,NAGPURI,Hindi,0.09228955954313278
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10463769_CGJPOTHER_366024_4422_9169.wav,S,NAGPURI,Sadri,0.03365427628159523
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85907_10490065_BHGGBO_363531_180_10068.wav,S,NAGPURI,Surgujia,0.17064940929412842
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_86359_10493643_BHJHAMP_194317_12016_15155.wav,S,NAGPURI,Nepali (individual language),0.3549104630947113
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85729_10473359_BHCO_134944_0_7669.wav,S,NAGPURI,Maithili,0.0976422131061554
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_85581_10464509_CGJPRAS_5564_0_6407.wav,S,NAGPURI,Bengali,0.23358064889907837
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_86411_10493359_CGJPCP_260279_62_11587.wav,S,NAGPURI,Hindi,0.4742976725101471
