File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040646_KTCMCO_158183_9020_17380.wav,S,ASSAMESE,Hindi,0.9793657064437866
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13036920_KTBBO_197925_0_6051.wav,S,ASSAMESE,Hindi,0.968885064125061
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040587_UPJLBU_312519_0_10112.wav,S,ASSAMESE,Hindi,0.6938581466674805
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042309_UPJLARS_287860_11990_15078.wav,S,ASSAMESE,Urdu,0.9345387816429138
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039754_UPJLAT_312422_0_10027.wav,S,ASSAMESE,Hindi,0.9829574227333069
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13041204_UPJLARS_287856_0_9264.wav,S,ASSAMESE,Hindi,0.8611549735069275
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042945_UPJLBR_260030_7053_12254.wav,S,ASSAMESE,Hindi,0.9304438233375549
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042309_UPJLARS_287860_3046_11364.wav,S,ASSAMESE,Hindi,0.5854011178016663
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13043702_UPJLCH_339199_6590_15263.wav,S,ASSAMESE,Hindi,0.9962936043739319
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13046024_UPJLCH_312861_0_12724.wav,S,ASSAMESE,Hindi,0.948246955871582
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042536_UPJLAUR_259579_7852_15799.wav,S,ASSAMESE,Hindi,0.9779419302940369
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13044051_UPJLCS_312518_10439_16879.wav,S,ASSAMESE,Hindi,0.9850509166717529
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039712_KTCMDAF_300674_0_12713.wav,S,ASSAMESE,Hindi,0.9540612101554871
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13037942_MRACO_323677_7638_19017.wav,S,ASSAMESE,Hindi,0.9960783123970032
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038741_MAO_241207_0_8362.wav,S,ASSAMESE,Hindi,0.9954259991645813
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040839_UPJLAC_327736_0_7681.wav,S,ASSAMESE,Hindi,0.9752928614616394
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13045251_UPJLCS_341904_10658_18710.wav,S,ASSAMESE,Hindi,0.6531063318252563
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038871_KTCMFLM_198760_7748_16908.wav,S,ASSAMESE,Hindi,0.6917837262153625
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040926_UPJLARS_339183_11502_16950.wav,S,ASSAMESE,Urdu,0.43257611989974976
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039754_UPJLAT_312422_10063_15960.wav,S,ASSAMESE,Urdu,0.7753245234489441
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042633_UPJLCS_312673_7628_15240.wav,S,ASSAMESE,Hindi,0.9943079352378845
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039935_KTCMMQ_181102_0_10220.wav,S,ASSAMESE,Hindi,0.9934921860694885
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042945_UPJLBR_260030_0_7053.wav,S,ASSAMESE,Hindi,0.9780979156494141
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13043702_UPJLCH_339199_0_6590.wav,S,ASSAMESE,Urdu,0.6190136671066284
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13045912_UPJLARS_287879_8103_17963.wav,S,ASSAMESE,Hindi,0.9087506532669067
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13046024_UPJLCH_312861_12984_18920.wav,S,ASSAMESE,Hindi,0.9914870262145996
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13045049_MRABC_323376_10485_19471.wav,S,ASSAMESE,Hindi,0.9865890741348267
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042309_UPJLARS_287860_0_2354.wav,S,ASSAMESE,Urdu,0.9418136477470398
