File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_M_UP_Hamirpur_Sahi59061_0410320000_UPHMA_377548_4407_6574.wav,M,BUNDELI,Urdu,0.46786102652549744
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_M_UP_Hamirpur_Sahi59061_0411560000_TGNLPC_44631_14773_20007.wav,M,BUNDELI,Urdu,0.7772795557975769
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_84409_10477808_UPJLVEM_259573_10022_20950.wav,S,BUNDELI,Hindi,0.7096588015556335
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_S_Uttarpradesh_Budaun_60320_9446538_BHJHBC_137597_0_12299.wav,S,BUNDELI,Sindhi,0.9966625571250916
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_S_Uttarpradesh_Budaun_60895_9514656_APVCOHW_173311_4933_16155.wav,S,BUNDELI,Hindi,0.5568807125091553
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_64088_9584702_CGBTBR_176163_7996_14076.wav,S,BUNDELI,Hindi,0.7903067469596863
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_65198_9615589_CGBMEX_346485_0_7420.wav,S,BUNDELI,Urdu,0.27459633350372314
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_65198_9616979_CGBTBK_252759_8597_19611.wav,S,BUNDELI,Urdu,0.7456965446472168
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_M_UP_Hamirpur_Sahi59061_0400110000_UPHST_5483_8219_14448.wav,M,BUNDELI,Hindi,0.11718445271253586
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_M_UP_Hamirpur_Sahi59061_0408360000_UPHZO_373477_13318_18403.wav,M,BUNDELI,Saraiki,0.297360360622406
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_S_Uttarpradesh_Hamirpur_84519_10527358_BHGGGY_364041_0_8656.wav,S,BUNDELI,Hindi,0.9475470185279846
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_84416_10472436_UPJLMOT_264170_10525_19353.wav,S,BUNDELI,Hindi,0.723918616771698
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_S_Uttarpradesh_Hamirpur_85887_10532504_APCTFLM_226616_158_8735.wav,S,BUNDELI,Urdu,0.5133118629455566
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_M_UP_Hamirpur_Sahi59061_0417590000_UPHFN_373253_4292_6012.wav,M,BUNDELI,Hindi,0.4448149800300598
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_S_Uttarpradesh_Budaun_61116_9507287_BHMAO_134247_22_7913.wav,S,BUNDELI,Bundeli,0.04087496176362038
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_S_Uttarpradesh_Budaun_60057_9415272_TGKIR_71930_9123_18288.wav,S,BUNDELI,Hindi,0.9847179055213928
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_84440_10504321_BHJMIR_302282_6033_12228.wav,S,BUNDELI,Urdu,0.8509923815727234
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_S_Uttarpradesh_Budaun_60354_9426505_BHBSINCG_127471_8967_16811.wav,S,BUNDELI,Hindi,0.7982993721961975
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_84409_10477808_UPJLVEM_259573_877_9795.wav,S,BUNDELI,Hindi,0.7296043038368225
https://vaani.iisc.ac.in/Audios/Hamirpur/IISc_VaaniProject_S_Uttarpradesh_Hamirpur_85887_10533134_UPHAMP_377185_8471_16788.wav,S,BUNDELI,Hindi,0.9505654573440552
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_S_Uttarpradesh_Budaun_60320_9505272_BHGGGA_363988_8376_19719.wav,S,BUNDELI,Panjabi,0.875940203666687
