File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhun26589_0747170000_CGSKBO_372343_2656_5130.wav,M,DURUWA,Turkish,0.059422917664051056
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1134170000_CGSKMA_304682_14080_17216.wav,M,DURUWA,Bengali,0.9996541738510132
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_para54196_1158280000_CGSKMEC_372672_5098_21504.wav,M,DURUWA,Bengali,0.9993708729743958
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1115140000_CGSKMT_372737_20224_21248.wav,M,DURUWA,Turkish,0.9883040189743042
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1128510000_TGKFOS_41635_10261_14016.wav,M,DURUWA,Bengali,0.9893670678138733
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_para54196_1209390000_CGSKDM_198571_15767_21824.wav,M,DURUWA,Bengali,0.9990144968032837
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1106020000_CGSKOTHER_304890_11317_20278.wav,M,DURUWA,Bengali,0.999617338180542
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1109580000_BHGGAT_363425_9130_20405.wav,M,DURUWA,Bengali,0.9955407977104187
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhun26589_0750490000_CGSKBO_304386_4832_9664.wav,M,DURUWA,Slovenian,0.49402669072151184
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_para54196_1152380000_CGSKFR_26035_1514_15977.wav,M,DURUWA,Bengali,0.9991401433944702
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1120380000_CGSKOTHER_304764_6016_7168.wav,M,DURUWA,Bengali,0.9291425943374634
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1125010000_CGSKRAS_188683_3242_5568.wav,M,DURUWA,Tibetan,0.9927493333816528
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1118290000_CGSKFT_372465_2709_4544.wav,M,DURUWA,Assamese,0.588731050491333
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1120380000_CGSKOTHER_304764_7978_11178.wav,M,DURUWA,Turkish,0.1407071202993393
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_para54196_1149350000_BHVSCOHW_338402_5920_20672.wav,M,DURUWA,Bengali,0.9993836879730225
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1115140000_CGSKMT_372737_11413_14485.wav,M,DURUWA,Bengali,0.9992877840995789
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_para54196_1157420000_CGKDOTHER_100301_15511_21865.wav,M,DURUWA,Bengali,0.9986275434494019
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhun26589_0720110000_TGKUN_203038_10176_12373.wav,M,DURUWA,Turkmen,0.39022207260131836
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1113590000_CGSKCOS_188575_13226_15488.wav,M,DURUWA,Bengali,0.9852994680404663
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1135430000_CGSKFO_150868_8234_10688.wav,M,DURUWA,Bengali,0.7935382723808289
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1135430000_CGSKFO_150868_13952_15274.wav,M,DURUWA,Bengali,0.9987279772758484
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1115140000_CGSKMT_372737_15765_17685.wav,M,DURUWA,Bengali,0.9860545992851257
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1109150000_TGNLSC_15238_8586_21248.wav,M,DURUWA,Bengali,0.9985696077346802
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Bhun26589_0743440000_CGSKBO_304309_5728_7061.wav,M,DURUWA,Malay (individual language),0.1188356950879097
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_para54196_1146580000_BHVSFAR_338546_8042_18434.wav,M,DURUWA,Bengali,0.9977110624313354
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_para54196_1156230000_CGSKMT_372730_13024_18779.wav,M,DURUWA,Bengali,0.9992161989212036
https://vaani.iisc.ac.in/Audios/Sukma/IISc_VaaniProject_M_CG_Sukma_Mila89238_1124010000_MRDGT_294897_18517_21504.wav,M,DURUWA,Bengali,0.9989211559295654
