File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89606_10624451_BHGGBC_363551_0_7541.wav,S,HALBI,Gujarati,0.5495634078979492
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_87550_10528942_BHVSCOHW_338404_22_11570.wav,S,HALBI,Gujarati,0.8931865692138672
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Rain08339_1529330000_BHGGCH_363639_17664_24320.wav,M,HALBI,Sindhi,0.12458097189664841
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_87136300_1353050000_CGKDOTHER_301475_4864_9787.wav,M,HALBI,Hindi,0.7057235240936279
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_000529_0732390000_TGNLBC_51261_10965_14144.wav,M,HALBI,Marathi,0.3222533166408539
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88129_10540888_CGBTREI_101075_8475_18970.wav,S,HALBI,Pushto,0.3693370521068573
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_80798_10330008_KTDHHE_158007_17905_19509.wav,S,HALBI,Assamese,0.48981642723083496
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Lali48920_0705110000_CGBTGOB_124324_8042_11733.wav,M,HALBI,Panjabi,0.7422145009040833
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_82829_10393254_CGBTZO_90986_498_6343.wav,S,HALBI,Gujarati,0.9901907444000244
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_63251913_1439000000_CGBTEV_96614_533_7552.wav,M,HALBI,Gujarati,0.8932962417602539
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88114_10540482_CGBTNAP_196245_6008_16167.wav,S,HALBI,Aheri Gondi,0.07472066581249237
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Rink07651_0858500000_CGBTME_268501_21024_22442.wav,M,HALBI,Marathi,0.6513556838035583
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_80832_10333931_CGBTBU_100901_11291_20461.wav,S,HALBI,Halbi,0.14681440591812134
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88657_10559043_CGBTBK_182086_9533_18190.wav,S,HALBI,Hindi,0.6847631335258484
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88129_10542141_CGBTRAS_301777_0_11761.wav,S,HALBI,Marathi,0.8616665005683899
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_85858_10473998_TGKGY_20328_8831_20239.wav,S,HALBI,Kannada,0.864173412322998
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89015_10575705_CGBTAT_32897_124_5015.wav,S,HALBI,Nepali (individual language),0.5582272410392761
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88337_10546898_CGBTTNT_207503_40_12579.wav,S,HALBI,Bhatri,0.9081395864486694
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Rink07651_0854240000_CGBTLK_32025_7733_11552.wav,M,HALBI,Sindhi,0.5494697690010071
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_82550_10386136_CGBTOTHER_201477_12482_18656.wav,S,HALBI,Marathi,0.6855343580245972
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Bhaj27131_1233280000_CGBTSP_251699_23413_24832.wav,M,HALBI,Gujarati,0.94976407289505
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Heer51371_0556340000_CGBTWAS_45889_810_7210.wav,M,HALBI,Gujarati,0.07294031977653503
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_60662624_1317360000_CGKDBIS_81337_405_2624.wav,M,HALBI,Marathi,0.12334311753511429
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_03968980_0805180000_UPVNFR_142622_9109_11765.wav,M,HALBI,Fulah,0.05606584623456001
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_108160_11391566_CGBTST_251726_10909_17983.wav,S,HALBI,Marathi,0.964927613735199
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89015_10576501_TGNLBK_206068_11259_19955.wav,S,HALBI,Gujarati,0.43567782640457153
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_116307_12007729_CGBTJAT_301794_7656_8838.wav,S,HALBI,Hindi,0.7925242781639099
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_84908_10446643_KKFI_292469_5670_15940.wav,S,HALBI,Marathi,0.8471881747245789
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_80840_10334044_CGBTCO_181814_9883_19457.wav,S,HALBI,Gujarati,0.9709327220916748
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_78893_0559330000_APKROTHER_303778_4394_12501.wav,M,HALBI,Bengali,0.1799171268939972
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_87561_10528591_BHGGFIM_363844_88_10231.wav,S,HALBI,Gujarati,0.5014607310295105
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88617_10555933_BHGGGA_363988_118_7431.wav,S,HALBI,Bengali,0.9914435744285583
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_80597_10326026_CGKDDA_301583_260_9019.wav,S,HALBI,Gujarati,0.9821402430534363
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_80840_10332768_TGNLWAM_203983_17645_19759.wav,S,HALBI,Gujarati,0.6763925552368164
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_00529_0659570000_BHGGBO_149763_18250_21504.wav,M,HALBI,Southeastern Dinka,0.03917190060019493
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_87181_10519641_CGBTPO_264919_11237_15298.wav,S,HALBI,Bhatri,0.04858674481511116
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89026_10578784_CGBTCO_181809_8192_15434.wav,S,HALBI,Marathi,0.427720308303833
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_2909851_0620030000_CGBTPP_88668_8106_10026.wav,M,HALBI,Sinhala,0.974741518497467
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88612_10555819_CGBTTE_76739_55_13685.wav,S,HALBI,Nimadi,0.07589302957057953
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_84112_10423666_UPVNCO_147755_160_7514.wav,S,HALBI,Gujarati,0.38030189275741577
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_87550_10528176_TGNLRMS_203879_9854_17203.wav,S,HALBI,Marathi,0.23385366797447205
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_32778_1030040000_CGBTFR_31310_853_5653.wav,M,HALBI,Sindhi,0.12965597212314606
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_31526709_1053570000_KTCMCO_158183_15859_17152.wav,M,HALBI,Sinhala,0.07126916944980621
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89022_10575696_CGBTAC_76753_201_9381.wav,S,HALBI,Nepali (individual language),0.9963499307632446
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_87902_10537715_CGBTCO_98637_47_6562.wav,S,HALBI,Hindi,0.13825879991054535
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Bhaj27131_1306570000_DDIAUR_238820_19264_24576.wav,M,HALBI,Urdu,0.44824424386024475
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89266_10606121_CGBTOTHER_195786_0_2209.wav,S,HALBI,Nepali (individual language),0.7586247324943542
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_RUKH29525_1211350000_CGBTCS_45727_10379_21385.wav,M,HALBI,Hindi,0.3049832880496979
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_87821_10535335_TGKOF_203066_1333_13466.wav,S,HALBI,Fiji Hindi,0.5481375455856323
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Samd84738_1349160000_CGBTTES_271003_22325_23978.wav,M,HALBI,Javanese,0.5697581171989441
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88337_10546187_CGBTTNT_207113_3075_8127.wav,S,HALBI,Gujarati,0.7793810963630676
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_87825_10535651_TGNLSK_212140_28_9345.wav,S,HALBI,Marathi,0.12476151436567307
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_RUKH29525_1207050000_CGBMEX_346504_13351_19806.wav,M,HALBI,Hindi,0.6172953248023987
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89606_10622645_BHJHAMP_235330_22_12701.wav,S,HALBI,Bhatri,0.41439059376716614
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_M_CG_Bastar_Hema87399_1411470000_CGBTGOB_49647_16512_23722.wav,M,HALBI,Nepali (individual language),0.97243732213974
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89455_10610693_BHARCA_352128_3586_6167.wav,S,HALBI,Goan Konkani,0.047908712178468704
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_88357_10546629_APVEV_115994_14411_18292.wav,S,HALBI,Bhatri,0.2794674038887024
https://vaani.iisc.ac.in/Audios/Bastar/IISc_VaaniProject_S_Chhattisgarh_Bastar_89017_10576845_APATFOS_156461_9445_19461.wav,S,HALBI,Halbi,0.47275206446647644
