File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Prit18697_0910260000_CGJPHE_222026_6664_9671.wav,M,KURUKH,Southern Balochi,0.039320603013038635
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_yogi58745_1333360000_CGSGMEC_55477_18538_23104.wav,M,KURUKH,Telugu,0.5778022408485413
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_Mani32145_0141040000_CGBMEX_346485_21760_23872.wav,M,KURUKH,Marathi,0.41176363825798035
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_sari456789_0114330000_CGSGMEC_55475_10225_23808.wav,M,KURUKH,Kannada,0.8227489590644836
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Biml07322_1302100000_BHDM_142182_20042_23264.wav,M,KURUKH,Kurukh,0.4645320475101471
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_Aart12548_1323040000_BR_251857_4202_7616.wav,M,KURUKH,Kannada,0.6058939099311829
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_hena41256_1252130000_KTCMFOS_300524_10144_15861.wav,M,KURUKH,Bengali,0.5675257444381714
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Padm75280_1402110000_CGJPCO_45208_243_13142.wav,M,KURUKH,Kannada,0.6665311455726624
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Vead91581_0751430000_MRAFE_323746_20426_21760.wav,M,KURUKH,Hindi,0.22822219133377075
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_puja87924_1355200000_KTDKAMT_33317_10112_16448.wav,M,KURUKH,Panjabi,0.8979700207710266
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Biml07322_1304300000_KTDKAOTHER_277435_22400_23680.wav,M,KURUKH,Bengali,0.9835423231124878
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Padm75280_1359500000_BHGGGT_364002_232_13316.wav,M,KURUKH,Hindi,0.4997994601726532
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_VIVE51818_1304270000_BHJHAT_161828_8032_9813.wav,M,KURUKH,Kurukh,0.03157171234488487
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_vini54789_1247320000_APATGT_163652_19061_20288.wav,M,KURUKH,Hindi,0.9020838737487793
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_yogi58745_1323120000_CGSGINMA_293070_5685_23202.wav,M,KURUKH,Telugu,0.7115182876586914
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_Mani52341_1331480000_CGSGHT_140613_545_7395.wav,M,KURUKH,Telugu,0.6312697529792786
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Durg22069_0643160000_CGBTDAF_201626_5098_20074.wav,M,KURUKH,Ghera,0.044721923768520355
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Prit18697_0928300000_CGJPCH_159214_1811_9287.wav,M,KURUKH,Northwestern Kolami,0.10055073350667953
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Roji66436_1043060000_CGJPME_174082_8138_23552.wav,M,KURUKH,Kannada,0.9798357486724854
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_vini54789_1242550000_CGSGMT_111548_13909_16544.wav,M,KURUKH,Sinhala,0.04353804886341095
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_anki24587_1316250000_BHGGFIM_363871_6240_9216.wav,M,KURUKH,Telugu,0.8479190468788147
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Vead91581_0805170000_CGJPHT_119566_11594_13504.wav,M,KURUKH,Somali,0.9841026663780212
https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_Aart12548_0131460000_CGSGAUR_86742_661_3178.wav,M,KURUKH,Nepali (individual language),0.9863280653953552
