File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129928_12349042_JKSBMQ_54480_8355_16946.wav,S,SANTALI,Mundari,0.43588942289352417
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0720270000_JKSBOTHER_328677_1408_3520.wav,M,SANTALI,Assamese,0.5032404661178589
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0723480000_JKSBOTHER_328423_11466_16618.wav,M,SANTALI,Panjabi,0.9744566082954407
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_04804114_1301480000_JKSBMQ_54450_2538_4106.wav,M,SANTALI,Maori,0.020614098757505417
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1504060000_JKSBTA_329027_22378_24490.wav,M,SANTALI,Marathi,0.169403538107872
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_52152487_0646320000_JKSBOTHER_328662_17216_20064.wav,M,SANTALI,Assamese,0.7480909824371338
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1544240000_BHJMCYR_142248_2012_10177.wav,M,SANTALI,Bengali,0.2976161241531372
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_suni36960_0221130000_APVCYR_74609_512_12288.wav,M,SANTALI,Kurukh,0.37668177485466003
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129928_12351484_JKSBMQ_54483_7557_18520.wav,S,SANTALI,Santali,0.615561306476593
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_132722_12652373_JKSBDM_55896_0_6350.wav,S,SANTALI,Moken,0.22533653676509857
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1510160000_JKSBAT_327983_541_8180.wav,M,SANTALI,Kannada,0.30408889055252075
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Manj16828_1118440000_JKSBSR_193138_9705_13955.wav,M,SANTALI,Kannada,0.6954175233840942
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12127449_GOB_241073_8643_20654.wav,S,SANTALI,Hindi,0.9954602122306824
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1509510000_TGKSK_217933_8010_18997.wav,M,SANTALI,Telugu,0.36899369955062866
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12283302_JKSBHO_108908_3290_16295.wav,S,SANTALI,Hindi,0.986112654209137
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0730520000_JKSBBO_126502_17610_24661.wav,M,SANTALI,Telugu,0.609193742275238
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129871_12340206_JKSBHO_285288_4767_18537.wav,S,SANTALI,Santali,0.4885121285915375
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0716510000_TGKOF_203060_17728_20682.wav,M,SANTALI,Malayalam,0.5415124893188477
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_suni36960_0218110000_KTBBK_320282_192_9728.wav,M,SANTALI,Manipuri,0.03761938214302063
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1517170000_CGBTFS_100859_818_10556.wav,M,SANTALI,Kannada,0.2818223536014557
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129871_12340661_JKSBHEC_151023_0_4842.wav,S,SANTALI,Santali,0.3204885423183441
