File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0854570000_KTDKAOF_246541_7186_17995.wav,M,TAMIL,Tamil,0.9972341656684875
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_120676_12227661_APATSP_82830_4389_15280.wav,S,TAMIL,Hindi,0.9984179735183716
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0855340000_TGNLFM_15486_1637_13421.wav,M,TAMIL,Malayalam,0.633052408695221
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87751711_1210530000_KTCMFIM_300601_3658_7893.wav,M,TAMIL,Tamil,0.9991554021835327
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87711822_1610210000_KTCMPP_198891_17749_19242.wav,M,TAMIL,Marathi,0.22108982503414154
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87751711_1227160000_KTCMRMS_181061_14848_21760.wav,M,TAMIL,Tamil,0.9964538812637329
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_75639_10136769_KTBEBU_340516_0_5178.wav,S,TAMIL,Telugu,0.6447557806968689
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_75170221_1446270000_KTCMOTHER_109008_12448_18741.wav,M,TAMIL,Tamil,0.999394416809082
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_S_Karnataka_Mysore_123956_12039115_KTDKARE_4576_0_5171.wav,S,TAMIL,Kannada,0.9990791082382202
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_135561_12838922_APATWAS_93546_7983_13353.wav,S,TAMIL,Hindi,0.6880055069923401
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_132677_12655093_KTBEDM_340841_12_10319.wav,S,TAMIL,Telugu,0.99297696352005
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_111666_11579266_APKRCH_81755_5528_18433.wav,S,TAMIL,Hindi,0.998789370059967
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_128010_12551520_APGUMEC_3562_8159_10437.wav,S,TAMIL,Hindi,0.9868336319923401
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_S_Karnataka_Mysore_123956_12029971_CGKDZO_8774_10930_17310.wav,S,TAMIL,Kannada,0.9956169128417969
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0837450000_KTCMSC_300068_14454_20480.wav,M,TAMIL,Malayalam,0.9351568222045898
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_121274_12382079_UPVNLA_142634_7455_15911.wav,S,TAMIL,Hindi,0.9927448034286499
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_75170221_1455280000_TGNLRI_51732_14517_20736.wav,M,TAMIL,Tamil,0.9846055507659912
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_61438794_1635340000_MA_264452_8106_14549.wav,M,TAMIL,Tamil,0.9947068095207214
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_128010_12572483_APGUMEC_172176_7121_9892.wav,S,TAMIL,Hindi,0.9976443648338318
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_132677_12647348_KTBECS_136629_3625_16436.wav,S,TAMIL,Telugu,0.9945435523986816
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_85501224_1422270000_TGKPL_26786_1300_11087.wav,M,TAMIL,Alu Kurumba,0.19854231178760529
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Raje91831_1049360000_CGKDTES_8800_5781_22165.wav,M,TAMIL,Tamil,0.9988792538642883
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_111666_11578337_APKRCH_60754_11042_18637.wav,S,TAMIL,Hindi,0.9841334819793701
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87711822_1640100000_BHARBU_352077_17408_21301.wav,M,TAMIL,Telugu,0.4090377986431122
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_31002511_1427220000_TGKBA_53619_6327_15882.wav,M,TAMIL,Irula,0.24093769490718842
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_0759911_1329130000_BHGJMT_186617_7778_14524.wav,M,TAMIL,Tamil,0.8162927031517029
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_128010_12564664_APGUMOT_60261_667_5683.wav,S,TAMIL,Hindi,0.582610547542572
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Raje91831_1025000000_APCTSK_67494_19178_21930.wav,M,TAMIL,Tamil,0.994151771068573
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Raje91831_1022070000_APCTFR_6359_533_10304.wav,M,TAMIL,Tamil,0.9978844523429871
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87751711_1210530000_KTCMFIM_300601_9066_12938.wav,M,TAMIL,Tamil,0.9950547218322754
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_72592303_1356430000_KTCMLK_29994_650_4437.wav,M,TAMIL,Tamil,0.9996232986450195
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_125615_12567771_BHGGBA_363511_7703_16165.wav,S,TAMIL,Hindi,0.8858010768890381
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_S_AP_Chittoor_116492_12002344_APCTOTHER_107691_10580_16738.wav,S,TAMIL,Kannada,0.5620298981666565
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Priy58564_1454450000_APCTHO_12291_20967_24543.wav,M,TAMIL,Tamil,0.9992004036903381
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_123182_12556702_APVEV_115856_8002_17205.wav,S,TAMIL,Hindi,0.9886969327926636
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_13101577_1728270000_KTCMVEM_198690_17322_20736.wav,M,TAMIL,Kannada,0.8473151326179504
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_130217_12687949_KTBEOTHER_341384_5126_16938.wav,S,TAMIL,Telugu,0.9934040904045105
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_111666_11577478_APKRCH_82078_10905_18446.wav,S,TAMIL,Hindi,0.9875296354293823
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_06706863_0939240000_KTCMLI_188412_8992_16757.wav,M,TAMIL,Tamil,0.9887692928314209
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_31002511_1429450000_BHGGBA_363503_893_10181.wav,M,TAMIL,Tamil,0.998573899269104
https://vaani.iisc.ac.in/Audios/Jamui/IISc_VaaniProject_S_Bihar_Jamui_137944_12920180_UPHAMP_377185_0_11991.wav,S,TAMIL,Hindi,0.9971617460250854
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_132677_12657866_KTBEFA_14309_12960_17433.wav,S,TAMIL,Telugu,0.9815775752067566
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_06706863_0954270000_TGKARS_71838_1248_4576.wav,M,TAMIL,Tamil,0.9980615973472595
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_S_AP_Chittoor_128381_12595184_APCTCO_53524_0_9921.wav,S,TAMIL,Hindi,0.9931125044822693
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_86607522_0949590000_KTCMICC_300360_15690_22272.wav,M,TAMIL,Tamil,0.9992018342018127
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_86607522_0917410000_BHECHDM_356636_17514_20224.wav,M,TAMIL,Tamil,0.9990037083625793
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_29431922_0259400000_KTCMCG_248929_4504_20352.wav,M,TAMIL,Tamil,0.9988391995429993
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_86607522_0912280000_KTCMSH_145349_11104_20224.wav,M,TAMIL,Tamil,0.9993230104446411
https://vaani.iisc.ac.in/Audios/Vishakapattanam/IISc_VaaniProject_S_AP_Vishakapattanam_101680_11125835_TGKSK_217933_202_11951.wav,S,TAMIL,Hindi,0.9979609251022339
