File,Vendor,Asserted_Language,Detected_Language,Probability
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Nara80906_1727440000_APGUSTF_220117_3148_8267.wav,M,URDU,Hindi,0.5089552998542786
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Savi29345_0549460000_APATBIS_190181_1333_4509.wav,M,URDU,Urdu,0.8711850643157959
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_M_KA_Mysore_Abaa68661_1005290000_KTMOTHER_308766_670_8463.wav,M,URDU,Hindi,0.9961822628974915
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_M_UP_Budaun_Sham41758_0129160000_UPBUHEC_131411_13130_14965.wav,M,URDU,Urdu,0.9000457525253296
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_M_KA_Mysore_Farh12537_1204430000_IMG20220911103802_2947_5497.wav,M,URDU,Hindi,0.37007689476013184
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153473_13763120_KTDKAOTHER_229448_0_9794.wav,S,URDU,Hindi,0.996886670589447
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153253_13761863_KTDKAMQ_229650_11104_15476.wav,S,URDU,Hindi,0.8903236389160156
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Rohi20522_0808090000_BHVSFE_338597_10155_18026.wav,M,URDU,Hindi,0.9637628197669983
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_M_KA_Mysore_Ayaa74032_0829450000_KTMFIM_308128_16250_19628.wav,M,URDU,Hindi,0.7983809113502502
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_M_UP_Budaun_Naze88217_0718020000_BHGGBA_363482_9056_12618.wav,M,URDU,Urdu,0.4994494915008545
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Durg25652_1659140000_BHJHBUPS_310506_4062_9641.wav,M,URDU,Urdu,0.9819477796554565
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153602_13789772_KTDKAPL_178971_0_6319.wav,S,URDU,Hindi,0.9287702441215515
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_116042_12286859_TGNLBUPS_203809_0_9318.wav,S,URDU,Hindi,0.9927101135253906
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Abdu83211_0433490000_APGUSP_10169_15918_17313.wav,M,URDU,Hindi,0.7089288830757141
https://vaani.iisc.ac.in/Audios/Gulbarga/IISc_VaaniProject_M_KA_Gulbarga_Alih37519_0703400000_KTGMEC_10578_14291_16846.wav,M,URDU,Hindi,0.8697516918182373
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Arad07677_1108080000_BHGGGY_364055_7001_10115.wav,M,URDU,Hindi,0.8326238393783569
https://vaani.iisc.ac.in/Audios/Darbhanga/IISc_VaaniProject_M_BR_Darbhanga_Rooh38024_1756320000_BHDBGOB_345516_228_6404.wav,M,URDU,Urdu,0.8018965721130371
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_119182_11960135_BHARS_135235_13781_18259.wav,S,URDU,Hindi,0.9887610077857971
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Abdu83211_0418260000_APGUML_213110_11970_13487.wav,M,URDU,Hindi,0.42093098163604736
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_M_KA_Mysore_Farh12537_1239340000_IMG20220911092604_11879_14459.wav,M,URDU,Hindi,0.9182509183883667
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Sadh02295_1250590000_CGBTCG_279894_13250_16277.wav,M,URDU,Hindi,0.9636045098304749
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Vans58423_1243500000_APGUSTF_213083_729_6905.wav,M,URDU,Urdu,0.9403523802757263
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Rudr85476_1459310000_CGKDCO_226435_12771_15947.wav,M,URDU,Fiji Hindi,0.17143744230270386
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_M_UP_Budaun_Sham41758_0909500000_UPBUHE_211387_8746_11861.wav,M,URDU,Fiji Hindi,0.25934457778930664
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Madh91818_1107250000_APATBA_272923_1422_6676.wav,M,URDU,Sindhi,0.6139416694641113
https://vaani.iisc.ac.in/Audios/Darbhanga/IISc_VaaniProject_M_BR_Darbhanga_Mohd90838_1254320000_TGKPL_26778_20112_25153.wav,M,URDU,Hindi,0.9632446765899658
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Jyot98032_1101510000_APATWP_138484_5145_7271.wav,M,URDU,Hindi,0.9791209697723389
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Shif94314_0600160000_APATKUM_156499_379_2809.wav,M,URDU,Hindi,0.9163405299186707
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_115713_11842487_KTCMCS_142670_10758_18025.wav,S,URDU,Hindi,0.9811400175094604
https://vaani.iisc.ac.in/Audios/Shimoga/IISc_VaaniProject_M_KA_Shimoga_Dani81745_1657510000_MRACOHW_84439_352_1584.wav,M,URDU,Hindi,0.8886898159980774
https://vaani.iisc.ac.in/Audios/JyotibaPhuleNagar/IISc_VaaniProject_M_UP_JyotibaPhuleNagar_Umer22896_1746300000_KTBCH_320352_9234_12609.wav,M,URDU,Sanskrit,0.559701144695282
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Sund14523_0440300000_APGUEX_213091_4299_8294.wav,M,URDU,Hindi,0.48440998792648315
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Manj65298_1716260000_APGUUN_10162_1300_4976.wav,M,URDU,Hindi,0.635985791683197
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Shai80841_0731140000_MRDBIS_298865_7989_10413.wav,M,URDU,Hindi,0.6396399140357971
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_M_KA_Bellary_Same99022_0814020000_TGNLFOS_158051_10602_15893.wav,M,URDU,Hindi,0.8313500285148621
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Anja63975_0128070000_CGKDMT_32143_325_4136.wav,M,URDU,Urdu,0.7709205150604248
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153147_13781014_BHGGCH_363625_0_10252.wav,S,URDU,Hindi,0.983897864818573
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_M_UP_Budaun_Mdil40344_1132300000_UPBUGT_310994_11700_14455.wav,M,URDU,Kullu Pahari,0.04953506961464882
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153473_13766788_KTDKARE_277600_20_10250.wav,S,URDU,Hindi,0.9590362906455994
https://vaani.iisc.ac.in/Audios/Begusarai/IISc_VaaniProject_M_BR_Begusarai_Nand87806_1323040000_TGKOF_203064_14340_18592.wav,M,URDU,Hindi,0.9103343486785889
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_S_Karnataka_Mysore_154023_13787923_IMG_20220911_125946_51_11816.wav,S,URDU,Urdu,0.9823209047317505
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_154496_13814543_KTJAT_158128_0_12711.wav,S,URDU,Urdu,0.7134920358657837
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Padm39341_0857360000_UPVNTEP_234491_1245_5836.wav,M,URDU,Urdu,0.8879449963569641
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Deep98632_1921290000_BHJHAT_311276_1570_4310.wav,M,URDU,Urdu,0.6061616539955139
https://vaani.iisc.ac.in/Audios/Araria/IISc_VaaniProject_M_BR_Araria_61752146_0711400000_CGBTBC_79555_6397_17152.wav,M,URDU,Urdu,0.9092340469360352
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_M_KA_Mysore_Farh12537_1246430000_KTMOTHER_313188_3751_5674.wav,M,URDU,Hindi,0.31959936022758484
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_S_Karnataka_Mysore_154023_13810752_KTMBE_307857_9303_18840.wav,S,URDU,Urdu,0.8804543614387512
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Sneh33065_2108300000_KTDKAFR_4541_11599_12948.wav,M,URDU,Sanskrit,0.7741695642471313
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Abdu83211_0255090000_APGUMEC_172176_5321_6838.wav,M,URDU,Hindi,0.29068395495414734
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Sant87456_0617550000_TGNLGS_51170_6621_10102.wav,M,URDU,Urdu,0.8578757643699646
https://vaani.iisc.ac.in/Audios/Karimnag/IISc_VaaniProject_M_TS_Karimnag_93269814_1145210000_TGKGT_20399_12949_20650.wav,M,URDU,Hindi,0.5299756526947021
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Savi29345_0534370000_BK_294453_11124_13446.wav,M,URDU,Hindi,0.7422900795936584
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153213_13805505_KTDKAOTHER_277435_0_10650.wav,S,URDU,Sindhi,0.5591253638267517
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_114915_11799902_KTCMWP_15921_498_8939.wav,S,URDU,Hindi,0.7913780212402344
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Srut58645_0601360000_APATRI_49888_1466_7015.wav,M,URDU,Hindi,0.9073116779327393
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_115707_11814225_APATMU_156486_0_9987.wav,S,URDU,Urdu,0.8024855256080627
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_115707_11818285_APATJAT_84510_7449_14800.wav,S,URDU,Hindi,0.9401670098304749
https://vaani.iisc.ac.in/Audios/EastChamparan/IISc_VaaniProject_M_BR_EastChamparan_Yasm19465_1617300000_MA_264465_1096_2654.wav,M,URDU,Sindhi,0.43500831723213196
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153594_13792478_KTDKAOTHER_299727_0_8426.wav,S,URDU,Hindi,0.979993462562561
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Padm39341_2109030000_BHARCH_352202_11673_20192.wav,M,URDU,Urdu,0.8693724870681763
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Trip51387_1207530000_BHARBC_282683_7948_9194.wav,M,URDU,Hindi,0.9444429278373718
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Bhag64755_0806300000_APVBC_142829_10156_12248.wav,M,URDU,Saraiki,0.14711342751979828
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_152593_13743723_KTSC_151314_11115_18740.wav,S,URDU,Urdu,0.0989735797047615
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153703_13779725_KTDKARI_34632_0_8319.wav,S,URDU,Urdu,0.9520747661590576
https://vaani.iisc.ac.in/Audios/Raichur/IISc_VaaniProject_M_KA_Raichur_Yasm52671_1245560000_KTRSTF_360193_9162_11477.wav,M,URDU,Hindi,0.9771277904510498
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_M_KA_Bellary_MImt55788_1628260000_IMG20220912074208_16927_22070.wav,M,URDU,Hindi,0.9964950680732727
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Radh18273_1934290000_APGUCOS_114179_13704_15518.wav,M,URDU,Hindi,0.5920014381408691
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_114944_11774100_BHJHAT_311276_9348_18917.wav,S,URDU,Hindi,0.9854738712310791
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153213_13806090_KTDKAAC_27402_28_7199.wav,S,URDU,Urdu,0.496537983417511
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Arju56620_1227170000_APGUAC_114115_1360_5355.wav,M,URDU,Hindi,0.6275323033332825
https://vaani.iisc.ac.in/Audios/Budaun/IISc_VaaniProject_M_UP_Budaun_Mdil40344_0916000000_UPBUPP_160659_16866_18369.wav,M,URDU,Oromo,0.418460488319397
https://vaani.iisc.ac.in/Audios/Gulbarga/IISc_VaaniProject_M_KA_Gulbarga_Alih37519_1142560000_JKJCO_370280_2832_5061.wav,M,URDU,Hindi,0.47780662775039673
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153473_13773555_KTDKAOTHER_229456_8020_12829.wav,S,URDU,Hindi,0.9207165241241455
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Shif94314_0626070000_APGUCO_40582_6256_9113.wav,M,URDU,Hindi,0.6772915720939636
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Madh44883_1750060000_APGUFIM_164290_12248_16805.wav,M,URDU,Hindi,0.9310634732246399
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Kaly22482_0035300000_APATKUM_156504_8158_13013.wav,M,URDU,Hindi,0.7675837874412537
https://vaani.iisc.ac.in/Audios/Gulbarga/IISc_VaaniProject_M_KA_Gulbarga_Musk16543_1310130000_KTGAC_317244_7082_13582.wav,M,URDU,Hindi,0.5696409344673157
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_114944_11777667_CGBTCA_79589_17_6765.wav,S,URDU,Hindi,0.9870110750198364
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Shan52688_0625140000_UPVNHIC_11396_5645_10147.wav,M,URDU,Hindi,0.9693996906280518
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Durg25652_1614180000_APATARS_81344_751_8206.wav,M,URDU,Urdu,0.9908610582351685
https://vaani.iisc.ac.in/Audios/Karimnag/IISc_VaaniProject_M_TS_Karimnag_50592294_1114210000_TGKDM_8100_9525_15562.wav,M,URDU,Hindi,0.6521214246749878
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_M_AP_Anantpur_Durg25652_1735060000_APATWAF_172259_15623_19374.wav,M,URDU,Urdu,0.9941381216049194
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_153613_13824265_KTDKATR_219915_11686_14574.wav,S,URDU,Hindi,0.8365544080734253
https://vaani.iisc.ac.in/Audios/DakshinKannada/IISc_VaaniProject_S_Karnataka_DakshinKannada_151879_13660797_BHPA_135260_0_5974.wav,S,URDU,Urdu,0.5398856401443481
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_114944_11780447_CGBTIM_301828_700_8962.wav,S,URDU,Hindi,0.9879357814788818
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_M_AP_Guntur_Vaib25350_1247270000_BHJMBA_9467_8334_16520.wav,M,URDU,Urdu,0.7665863037109375
