File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040646_KTCMCO_158183_9020_17380.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13036920_KTBBO_197925_0_6051.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040587_UPJLBU_312519_0_10112.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039754_UPJLAT_312422_0_10027.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13041204_UPJLARS_287856_0_9264.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042945_UPJLBR_260030_7053_12254.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042309_UPJLARS_287860_3046_11364.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13043702_UPJLCH_339199_6590_15263.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13046024_UPJLCH_312861_0_12724.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042536_UPJLAUR_259579_7852_15799.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13044051_UPJLCS_312518_10439_16879.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039712_KTCMDAF_300674_0_12713.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13037942_MRACO_323677_7638_19017.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038741_MAO_241207_0_8362.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040839_UPJLAC_327736_0_7681.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13045251_UPJLCS_341904_10658_18710.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038871_KTCMFLM_198760_7748_16908.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042633_UPJLCS_312673_7628_15240.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039935_KTCMMQ_181102_0_10220.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042945_UPJLBR_260030_0_7053.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13045912_UPJLARS_287879_8103_17963.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13046024_UPJLCH_312861_12984_18920.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13045049_MRABC_323376_10485_19471.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13037942_MRACO_323677_0_7598.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038869_UPJLAMP_287765_10800_17480.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040926_UPJLARS_339183_0_10977.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13041648_UPJLBK_339799_0_6553.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13044104_UPJLAT_288033_5962_16685.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13044797_UPJLBR_223676_0_14705.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038741_MAO_241207_8762_20552.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13041212_UPJLCO_339410_10287_19060.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13043468_UPJLCO_42650_8494_16668.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13039935_KTCMMQ_181102_10260_15645.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13037920_UPJLAC_327745_0_12232.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13048043_UPJLAMP_287742_0_11309.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13045912_UPJLARS_287879_0_7811.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13044051_UPJLCS_312518_0_10439.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13042536_UPJLAUR_259579_0_7600.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13041670_MRADAF_323697_8558_13685.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13040587_UPJLBU_312519_10112_18950.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038915_UPJLAMP_287749_9252_15421.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13038836_MRADA_81292_8501_16192.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13037920_UPJLAC_327745_12697_17678.wav,S,ASSAMESE,Jalaun,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_141503_13048602_UPJLBC_312461_5139_12268.wav,S,ASSAMESE,Jalaun,
