File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_gula80957_0627590000_MRAFE_256192_789_5973.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_fhoo84523_0608330000_BHGJMT_186015_14677_17386.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Varanasi/IISc_VaaniProject_S_Uttarpradesh_Varanasi_123719_12545405_KKTA_266298_0_4253.wav,S,AWADHI,Varanasi,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Babl88173_0542040000_BHECHBR_356400_10613_13493.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_raml89234_0640190000_FA_264982_1920_4330.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Bino25663_0720040000_APVEV_115991_6112_7861.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_fhoo84523_0608330000_BHGJMT_186015_18304_19392.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_gane16258_0400160000_CGBMOTHER_346441_12586_15882.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_bhag25478_0546530000_CGBMOTHER_347320_18122_20085.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Bino25663_0722500000_BHECHBU_356424_6538_8938.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_139256_13228044_BHGGFIM_363888_8_7738.wav,S,AWADHI,Jalaun,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Mani25602_0701410000_CGBMMT_347015_1557_5013.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_139256_13236178_BHVSCOS_338353_107_10700.wav,S,AWADHI,Jalaun,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Kotb35688_0802490000_CGBMTEP_347492_14082_21954.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_139256_13221797_APVEV_115986_8002_16343.wav,S,AWADHI,Jalaun,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_guru25445_0639230000_MRADAF_323701_13717_16874.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Vika03188_0636370000_APVEV_115994_17589_20085.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_gane16258_0352070000_BHVSBA_338052_5770_9141.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_bhim81323_0708310000_KTBCH_320336_16426_18314.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_raml89234_0614320000_CGBMGT_46061_13376_15274.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_gula80957_0635060000_CGBMSH_28387_16917_21418.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_139256_13224527_APCTBU_925_7540_11520.wav,S,AWADHI,Jalaun,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_siya23657_0511280000_APVDAF_74657_18090_19573.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_gane16258_0418530000_CGBMST_347453_5461_12928.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Ghazipur/IISc_VaaniProject_S_Uttarpradesh_Ghazipur_122337_12038050_UPGZSTF_234048_9052_19483.wav,S,AWADHI,Ghazipur,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Tuls03341_1003160000_CGBMFT_248998_1845_6144.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Balrampu/IISc_VaaniProject_M_CG_Balrampu_Bino25663_0722500000_BHECHBU_356424_9834_13578.wav,M,AWADHI,Balrampu,
https://vaani.iisc.ac.in/Audios/Jalaun/IISc_VaaniProject_S_Uttarpradesh_Jalaun_139256_13227250_APVEL_74688_12900_17617.wav,S,AWADHI,Jalaun,
