File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Deoria/IISc_VaaniProject_S_Uttarpradesh_Deoria_92291_10765391_UPDESL_118978_0_7258.wav,S,BHOJPURI,Deoria,
https://vaani.iisc.ac.in/Audios/Deoria/IISc_VaaniProject_M_UP_Deoria_Puna24054_1129100000_MRACOS_16062_6762_9642.wav,M,BHOJPURI,Deoria,
https://vaani.iisc.ac.in/Audios/EastChamparan/IISc_VaaniProject_M_BR_EastChamparan_Nish46127_1352090000_CGBMEV_192612_670_6202.wav,M,BHOJPURI,EastChamparan,
https://vaani.iisc.ac.in/Audios/Ghazipur/IISc_VaaniProject_S_Uttarpradesh_Ghazipur_89684_10629630_UPGZLK_316488_6435_16340.wav,S,BHOJPURI,Ghazipur,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_S_Bihar_Saran_111577_11576127_KTCMDM_300692_5075_9018.wav,S,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Ghazipur/IISc_VaaniProject_S_Uttarpradesh_Ghazipur_80674_10328544_TGNLFOS_158051_81_9526.wav,S,BHOJPURI,Ghazipur,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_M_BR_Saran_Rahu38127_0140320000_BHSNEV_221520_672_11029.wav,M,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Deoria/IISc_VaaniProject_S_Uttarpradesh_Deoria_105243_11268115_UPDEMQ_219313_0_12557.wav,S,BHOJPURI,Deoria,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_S_Bihar_Saran_61417_9472481_CGKDPG_62317_7280_12172.wav,S,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Gopalganj/IISc_VaaniProject_S_Bihar_Gopalganj_80494_10393999_APVEV_115990_8796_19693.wav,S,BHOJPURI,Gopalganj,
https://vaani.iisc.ac.in/Audios/EastChamparan/IISc_VaaniProject_S_Bihar_EastChamparan_70043_9847693_UPVNBU_191391_22_9375.wav,S,BHOJPURI,EastChamparan,
https://vaani.iisc.ac.in/Audios/Gorakhpur/IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_63214_9525430_JKJHEC_131524_5700_11970.wav,S,BHOJPURI,Gorakhpur,
https://vaani.iisc.ac.in/Audios/Gorakhpur/IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_64966_9700571_CGBTFE_195155_11744_18421.wav,S,BHOJPURI,Gorakhpur,
https://vaani.iisc.ac.in/Audios/Deoria/IISc_VaaniProject_S_Uttarpradesh_Deoria_63815_9561062_UPDERI_33493_7142_19028.wav,S,BHOJPURI,Deoria,
https://vaani.iisc.ac.in/Audios/Ghazipur/IISc_VaaniProject_S_Uttarpradesh_Ghazipur_92935_10837720_UPGZOTHER_315792_6480_8183.wav,S,BHOJPURI,Ghazipur,
https://vaani.iisc.ac.in/Audios/Ghazipur/IISc_VaaniProject_S_Uttarpradesh_Ghazipur_77378_10198899_UPGZGOB_37834_0_6543.wav,S,BHOJPURI,Ghazipur,
https://vaani.iisc.ac.in/Audios/Gorakhpur/IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_64950_9614876_BHARBU_352068_3_7469.wav,S,BHOJPURI,Gorakhpur,
https://vaani.iisc.ac.in/Audios/Gorakhpu/IISc_VaaniProject_M_UP_Gorakhpu_94632894_0247450000_CGBMEX_346516_1301_6421.wav,M,BHOJPURI,Gorakhpu,
https://vaani.iisc.ac.in/Audios/Gopalganj/IISc_VaaniProject_S_Bihar_Gopalganj_96080_10898537_BHGGME_364680_9_8291.wav,S,BHOJPURI,Gopalganj,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_M_BR_Saran_Vans97772_0702370000_BHSNCYR_8524_1941_7765.wav,M,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Raichur/IISc_VaaniProject_S_Karnataka_Raichur_96854_10926997_KTRPP_359882_9495_19363.wav,S,BHOJPURI,Raichur,
https://vaani.iisc.ac.in/Audios/Gopalganj/IISc_VaaniProject_S_Bihar_Gopalganj_59643_10217657_JKJCYR_370317_498_5324.wav,S,BHOJPURI,Gopalganj,
https://vaani.iisc.ac.in/Audios/Deoria/IISc_VaaniProject_S_Uttarpradesh_Deoria_64812_9605372_UPDECG_211276_0_6685.wav,S,BHOJPURI,Deoria,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_S_Bihar_Saran_70540_9854423_DOA_251829_60_10931.wav,S,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_S_Bihar_Saran_77286_10196180_BHVSFAR_338553_0_7610.wav,S,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Ghazipur/IISc_VaaniProject_S_Uttarpradesh_Ghazipur_73563_10022006_KTBBK_320221_3444_11061.wav,S,BHOJPURI,Ghazipur,
https://vaani.iisc.ac.in/Audios/Varanasi/IISc_VaaniProject_M_UP_Varanasi_Mamt91763_1338490000_TGKTES_53611_7515_12173.wav,M,BHOJPURI,Varanasi,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_M_BR_Saran_Karn12019_1314380000_JKJCO_370285_2043_9473.wav,M,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Begusarai/IISc_VaaniProject_S_Bihar_Begusarai_110656_11569940_CGBMEX_346507_7933_10864.wav,S,BHOJPURI,Begusarai,
https://vaani.iisc.ac.in/Audios/Gorakhpur/IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_65052_9628095_CGBMEX_346514_11852_18156.wav,S,BHOJPURI,Gorakhpur,
https://vaani.iisc.ac.in/Audios/Ghazipur/IISc_VaaniProject_S_Uttarpradesh_Ghazipur_79003_10252109_JKJCO_126825_10515_17145.wav,S,BHOJPURI,Ghazipur,
https://vaani.iisc.ac.in/Audios/Gopalganj/IISc_VaaniProject_S_Bihar_Gopalganj_78666_10242305_BHGGTO_365688_6306_16619.wav,S,BHOJPURI,Gopalganj,
https://vaani.iisc.ac.in/Audios/Gorakhpur/IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_87173_10529282_UPGPSC_234417_498_7737.wav,S,BHOJPURI,Gorakhpur,
https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_S_Bihar_Saran_69234_9789463_BHSNPC_120741_3046_6667.wav,S,BHOJPURI,Saran,
https://vaani.iisc.ac.in/Audios/Gorakhpur/IISc_VaaniProject_S_Uttarpradesh_Gorakhpur_97467_10948366_CGBMEX_346501_13569_21008.wav,S,BHOJPURI,Gorakhpur,
