File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_95057_10862843_TGKSC_41671_10304_17915.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_66656_9675927_TGNLBC_51261_11425_16335.wav,S,ENGLISH,Guntur,
https://vaani.iisc.ac.in/Audios/Bijapur/IISc_VaaniProject_S_Karnataka_Bijapur_126987_12612966_KTBJWP_123108_11622_19963.wav,S,ENGLISH,Bijapur,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_74990_10109437_CGBMEX_346506_0_11029.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_105924_11313674_MA_264465_11_8537.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_95057_10862888_TGKSEP_82071_8245_14740.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_105924_11312652_FA_264983_39_13147.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_119014_11963735_BHGGFIM_363854_8_9073.wav,S,ENGLISH,Krishna,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_74990_10105645_KTBECLT_340740_27_10196.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_106742_11319857_TGKBR_67862_22_5840.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_119014_11965827_BHARBO_351966_8_12096.wav,S,ENGLISH,Krishna,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_95057_10862854_TGKSC_41676_0_12042.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_106742_11325660_TGKBR_65882_10_14117.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_106742_11323612_TGKCG_92865_10_14180.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_74990_10122989_IMG20220914105344_8504_19660.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_75353_10121578_IMG20220913122038_11762_16268.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_74990_10124220_IMG20220913123028_58_8766.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Bijapur/IISc_VaaniProject_S_Karnataka_Bijapur_126987_12533412_TGKMR_8171_8534_18654.wav,S,ENGLISH,Bijapur,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_75353_10122321_IMG20220914120515_10165_18862.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_66656_9673944_TGKAUR_11940_0_12478.wav,S,ENGLISH,Guntur,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_75353_10123526_IMG20220913121750_15_9762.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_74990_10111319_CGBMEX_346494_0_10436.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Bijapur/IISc_VaaniProject_S_Karnataka_Bijapur_126987_12760472_KTBJZO_172594_13865_16582.wav,S,ENGLISH,Bijapur,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_74990_10110195_CGBMEX_346492_27_8932.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_119014_11966004_BHGGBA_363494_6542_11955.wav,S,ENGLISH,Krishna,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_119014_11966043_BHGGEV_363733_8_10450.wav,S,ENGLISH,Krishna,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_74990_10123399_IMG20220913121306_11086_20048.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_95057_10862511_TGKOTHER_7757_16_13465.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_95057_10862867_TGKSC_8003_107_5849.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_75353_10121397_IMG20220913115701_42_11082.wav,S,ENGLISH,Bellary,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_105924_11315833_MRACA_323496_10_14381.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Karimnagar/IISc_VaaniProject_S_Telengana_Karimnagar_89387_10610180_PG_104375_77_8571.wav,S,ENGLISH,Karimnagar,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_75353_10122507_IMG20220912114938_13620_17888.wav,S,ENGLISH,Bellary,
