File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341218_GONAP_177900_6178_20035.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341400_GONGOAUR_23108_10395_16024.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341226_GONGOAC_132574_9711_18134.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341135_GOMR_191801_13942_19707.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341094_GOMR_191787_408_11194.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341566_GONGOBC_147605_0_9232.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341402_GONGOBC_132654_14429_20198.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341504_GOMQ_211794_6642_18263.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341650_GONGOBE_23210_132_10763.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341190_GOMR_191791_8_11635.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341135_GOMR_191801_0_13694.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341592_GONGOBC_52772_71_8141.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11340957_GONGOBO_32633_10455_19691.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341482_GONGOBC_147595_13232_19401.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341272_GONGOAC_132584_0_12292.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341628_GONGOBE_22671_11023_19891.wav,S,GUJARATI,NorthSouthGoa,
https://vaani.iisc.ac.in/Audios/NorthSouthGoa/IISc_VaaniProject_S_Goa_NorthSouthGoa_107172_11341094_GOMR_191787_11728_20950.wav,S,GUJARATI,NorthSouthGoa,
