File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Darbhang/IISc_VaaniProject_M_BR_Darbhang_Babl11061_1426510000_BHDBRAS_345558_11360_15338.wav,M,MAITHILI,Darbhang,
https://vaani.iisc.ac.in/Audios/Bhagalpur/IISc_VaaniProject_S_Bihar_Bhagalpur_71355_9892244_BHBPMT_236028_0_6166.wav,S,MAITHILI,Bhagalpur,
https://vaani.iisc.ac.in/Audios/Saharsa/IISc_VaaniProject_M_BR_Saharsa_Prat52720_0619430000_TGKPR_211686_10112_13270.wav,M,MAITHILI,Saharsa,
https://vaani.iisc.ac.in/Audios/Saharsa/IISc_VaaniProject_S_Bihar_Saharsa_89951_10649154_WBN24PFO_295559_0_7739.wav,S,MAITHILI,Saharsa,
https://vaani.iisc.ac.in/Audios/Begusarai/IISc_VaaniProject_S_Bihar_Begusarai_76122_10149913_WBPLOTHER_1893_13483_18360.wav,S,MAITHILI,Begusarai,
https://vaani.iisc.ac.in/Audios/Darbhang/IISc_VaaniProject_M_BR_Darbhang_Sagi19615_0958500000_KTDKAHO_27424_1482_5290.wav,M,MAITHILI,Darbhang,
https://vaani.iisc.ac.in/Audios/Supaul/IISc_VaaniProject_S_Bihar_Supaul_93376_10920535_JKJHE_313452_7172_20718.wav,S,MAITHILI,Supaul,
https://vaani.iisc.ac.in/Audios/Saharsa/IISc_VaaniProject_M_BR_Saharsa_34479911_0649210000_UPVNREI_136144_2623_11168.wav,M,MAITHILI,Saharsa,
https://vaani.iisc.ac.in/Audios/Begusarai/IISc_VaaniProject_M_BR_Begusarai_pank75624_1027300000_TGNLFOS_158051_23560_24820.wav,M,MAITHILI,Begusarai,
https://vaani.iisc.ac.in/Audios/Madhepura/IISc_VaaniProject_S_Bihar_Madhepura_140112_12964513_BHMPOTHER_368149_13560_18883.wav,S,MAITHILI,Madhepura,
https://vaani.iisc.ac.in/Audios/Samastipur/IISc_VaaniProject_M_BR_Samastipur_Suni03045_0416150000_20220905_122401_9533_13189.wav,M,MAITHILI,Samastipur,
https://vaani.iisc.ac.in/Audios/Samastipur/IISc_VaaniProject_S_Bihar_Samastipur_67266_9819954_BHSPOTHER_362548_0_5559.wav,S,MAITHILI,Samastipur,
https://vaani.iisc.ac.in/Audios/Bhagalpur/IISc_VaaniProject_S_Bihar_Bhagalpur_95111_10866467_UPVNIT_11197_0_5150.wav,S,MAITHILI,Bhagalpur,
https://vaani.iisc.ac.in/Audios/Saharsa/IISc_VaaniProject_M_BR_Saharsa_Anan73964_0948580000_BHSHGT_213609_16480_19509.wav,M,MAITHILI,Saharsa,
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_Deve56627_1030070000_BHBSBC_132792_8288_11338.wav,M,MAITHILI,Begusara,
https://vaani.iisc.ac.in/Audios/Madhepur/IISc_VaaniProject_M_BR_Madhepur_Suna11907_1345550000_BHMPGOB_367462_896_8405.wav,M,MAITHILI,Madhepur,
