File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1708260000_WBJGHIC_251161_352_6560.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Lila67847_1549020000_CGJPCG_179438_7477_11317.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Kurr54393_1238570000_BHGGGY_364055_6186_11157.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0500250000_CGJPWP_59524_18933_22432.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gaur78256_1042410000_CGJPRI_1536_19093_23680.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Nupu443466_1807040000_CGKDBIS_83648_1280_7946.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0455530000_CGJPJAT_363130_3392_4661.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1656200000_WBPLBC_128386_12586_20480.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_80703_10914880_CGJPOTHER_366024_6582_19642.wav,S,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_100675_11061088_CGJPFOS_179366_10347_19981.wav,S,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1705300000_WBJGRI_48519_10762_18314.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Nupu443466_1938200000_BHECHBA_356299_6112_13834.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0440370000_CGJPFR_23109_9525_13973.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1703160000_WBMLHIS_296095_10346_18688.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Lila67847_1550070000_BHGJDM_5911_11754_13984.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Parm95854_1516510000_WBJGPG_111382_10218_18688.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_80703_10914866_CGJPOTHER_363302_9698_11927.wav,S,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1653370000_JGTES_157430_8970_18762.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1702100000_WBJGRI_48494_5024_10720.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Nupu443466_1939340000_JGGT_108299_13056_20480.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0428580000_CGJPFR_17299_7850_14016.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_100675_11061076_CGJPFLM_90268_9007_19873.wav,S,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_100675_11061088_CGJPFOS_179366_18_10347.wav,S,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0453030000_BHVSFA_338525_1514_4864.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1717360000_UPVNGA_1188_5002_12330.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Parm95854_1515350000_BHGGAT_363439_192_10026.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0432230000_CGJPFA_366263_12586_14933.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Parm95854_1536160000_WBJGOTHER_105122_234_13312.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_96779_10940710_BHARCLT_352284_438_10583.wav,S,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0457380000_CGKDFM_26945_11925_14506.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_S_Chhattisgarh_Jashpur_96729_10929162_KTDKATHP_40083_10338_19280.wav,S,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gaur78256_1039400000_CGJPMA_24560_1856_8789.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_15545377_0924040000_BHGGEV_363756_17173_20106.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1658400000_KTBCH_320363_256_4480.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Gawe32745_0500250000_CGJPWP_59524_14272_17578.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Nupu443466_1921560000_BHJHEV_132964_992_11605.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jashpur/IISc_VaaniProject_M_CG_Jashpur_Kurr54393_1248150000_BHARBO_351965_13973_16192.wav,M,SADRI,Jashpur,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Nupu443466_1923260000_WBJGMT_48626_661_14058.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Mana95496_1647520000_WBJGAT_184117_533_4672.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Nupu443466_1939340000_JGGT_108299_992_8224.wav,M,SADRI,Jalpaigu,
https://vaani.iisc.ac.in/Audios/Jalpaigu/IISc_VaaniProject_M_WB_Jalpaigu_Parm95854_1529400000_TGNLTD_115183_170_9866.wav,M,SADRI,Jalpaigu,
