File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129928_12349042_JKSBMQ_54480_8355_16946.wav,S,SANTALI,Sahebganj,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0720270000_JKSBOTHER_328677_1408_3520.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0723480000_JKSBOTHER_328423_11466_16618.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_04804114_1301480000_JKSBMQ_54450_2538_4106.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1504060000_JKSBTA_329027_22378_24490.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_52152487_0646320000_JKSBOTHER_328662_17216_20064.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1544240000_BHJMCYR_142248_2012_10177.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_suni36960_0221130000_APVCYR_74609_512_12288.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129928_12351484_JKSBMQ_54483_7557_18520.wav,S,SANTALI,Sahebganj,
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_132722_12652373_JKSBDM_55896_0_6350.wav,S,SANTALI,Sahebganj,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1510160000_JKSBAT_327983_541_8180.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Manj16828_1118440000_JKSBSR_193138_9705_13955.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12127449_GOB_241073_8643_20654.wav,S,SANTALI,Sahebganj,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Jawa72692_1509510000_TGKSK_217933_8010_18997.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_126181_12283302_JKSBHO_108908_3290_16295.wav,S,SANTALI,Sahebganj,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0730520000_JKSBBO_126502_17610_24661.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129871_12340206_JKSBHO_285288_4767_18537.wav,S,SANTALI,Sahebganj,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Sita72691_0716510000_TGKOF_203060_17728_20682.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_suni36960_0218110000_KTBBK_320282_192_9728.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebgan/IISc_VaaniProject_M_JH_Sahebgan_Arun60662_1517170000_CGBTFS_100859_818_10556.wav,M,SANTALI,Sahebgan,
https://vaani.iisc.ac.in/Audios/Sahebganj/IISc_VaaniProject_S_Jharkhand_Sahebganj_129871_12340661_JKSBHEC_151023_0_4842.wav,S,SANTALI,Sahebganj,
