File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_34189470_0821130000_HEC_143647_0_15197.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_87179010_0954410000_MRDGT_294897_12928_17536.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_79464795_1150200000_BHGGGA_363984_487_12654.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_Radh50903_0622400000_BHKGWAM_351715_17217_18343.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_Savi78458_0930200000_APCTFIM_173772_10716_15975.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_19680640_1003130000_UPVNGA_1188_768_7722.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_Prav79177_1034470000_APVBC_142829_16320_19840.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_92062783_1300140000_BHVSBU_338204_1253_11818.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_84055304_1132320000_CGKDBR_226456_12800_20736.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_87179010_0926360000_TGNLSK_212140_2112_7701.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_02087135_1456470000_MRDBIS_298865_8960_13013.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_04549543_1226060000_BHGJTNT_193315_18432_20992.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_71554490_1028460000_JKJEV_370387_17834_20992.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_53402394_1401350000_BHKGBU_287584_10826_21504.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_98919202_1243520000_APATDAF_163686_8463_10716.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_82888780_1111460000_CGBMEX_346484_16650_20330.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_50299953_1054410000_BHKGEC_208382_13455_16857.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_17355403_0931390000_BHKGRE_3095_650_7317.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_02087135_1424570000_BHARBC_282683_17962_20448.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_84176298_0946420000_KTDKAOTHER_229585_1920_18592.wav,M,SURJAPURI,Kishanga,
https://vaani.iisc.ac.in/Audios/Kishanga/IISc_VaaniProject_M_BR_Kishanga_Radh50903_0634200000_BHGGFE_363836_464_14744.wav,M,SURJAPURI,Kishanga,
