File,Vendor,Asserted_Language,District,Claim_Correct/Incorrect
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0854570000_KTDKAOF_246541_7186_17995.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_120676_12227661_APATSP_82830_4389_15280.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0855340000_TGNLFM_15486_1637_13421.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87751711_1210530000_KTCMFIM_300601_3658_7893.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87711822_1610210000_KTCMPP_198891_17749_19242.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87751711_1227160000_KTCMRMS_181061_14848_21760.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_75639_10136769_KTBEBU_340516_0_5178.wav,S,TAMIL,Bellary,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_75170221_1446270000_KTCMOTHER_109008_12448_18741.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_S_Karnataka_Mysore_123956_12039115_KTDKARE_4576_0_5171.wav,S,TAMIL,Mysore,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_135561_12838922_APATWAS_93546_7983_13353.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_132677_12655093_KTBEDM_340841_12_10319.wav,S,TAMIL,Bellary,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_111666_11579266_APKRCH_81755_5528_18433.wav,S,TAMIL,Krishna,
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_128010_12551520_APGUMEC_3562_8159_10437.wav,S,TAMIL,Guntur,
https://vaani.iisc.ac.in/Audios/Mysore/IISc_VaaniProject_S_Karnataka_Mysore_123956_12029971_CGKDZO_8774_10930_17310.wav,S,TAMIL,Mysore,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0837450000_KTCMSC_300068_14454_20480.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_121274_12382079_UPVNLA_142634_7455_15911.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_75170221_1455280000_TGNLRI_51732_14517_20736.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_61438794_1635340000_MA_264452_8106_14549.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_128010_12572483_APGUMEC_172176_7121_9892.wav,S,TAMIL,Guntur,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_132677_12647348_KTBECS_136629_3625_16436.wav,S,TAMIL,Bellary,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_85501224_1422270000_TGKPL_26786_1300_11087.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Raje91831_1049360000_CGKDTES_8800_5781_22165.wav,M,TAMIL,Chittoor,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_111666_11578337_APKRCH_60754_11042_18637.wav,S,TAMIL,Krishna,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87711822_1640100000_BHARBU_352077_17408_21301.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_31002511_1427220000_TGKBA_53619_6327_15882.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_0759911_1329130000_BHGJMT_186617_7778_14524.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_128010_12564664_APGUMOT_60261_667_5683.wav,S,TAMIL,Guntur,
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Raje91831_1025000000_APCTSK_67494_19178_21930.wav,M,TAMIL,Chittoor,
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Raje91831_1022070000_APCTFR_6359_533_10304.wav,M,TAMIL,Chittoor,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87751711_1210530000_KTCMFIM_300601_9066_12938.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_72592303_1356430000_KTCMLK_29994_650_4437.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_125615_12567771_BHGGBA_363511_7703_16165.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_S_AP_Chittoor_116492_12002344_APCTOTHER_107691_10580_16738.wav,S,TAMIL,Chittoor,
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Priy58564_1454450000_APCTHO_12291_20967_24543.wav,M,TAMIL,Chittoor,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_123182_12556702_APVEV_115856_8002_17205.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_13101577_1728270000_KTCMVEM_198690_17322_20736.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_130217_12687949_KTBEOTHER_341384_5126_16938.wav,S,TAMIL,Bellary,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_111666_11577478_APKRCH_82078_10905_18446.wav,S,TAMIL,Krishna,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_06706863_0939240000_KTCMLI_188412_8992_16757.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_31002511_1429450000_BHGGBA_363503_893_10181.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Jamui/IISc_VaaniProject_S_Bihar_Jamui_137944_12920180_UPHAMP_377185_0_11991.wav,S,TAMIL,Jamui,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_132677_12657866_KTBEFA_14309_12960_17433.wav,S,TAMIL,Bellary,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_06706863_0954270000_TGKARS_71838_1248_4576.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_S_AP_Chittoor_128381_12595184_APCTCO_53524_0_9921.wav,S,TAMIL,Chittoor,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_86607522_0949590000_KTCMICC_300360_15690_22272.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_86607522_0917410000_BHECHDM_356636_17514_20224.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_29431922_0259400000_KTCMCG_248929_4504_20352.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_86607522_0912280000_KTCMSH_145349_11104_20224.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Vishakapattanam/IISc_VaaniProject_S_AP_Vishakapattanam_101680_11125835_TGKSK_217933_202_11951.wav,S,TAMIL,Vishakapattanam,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0817200000_KTCMMQ_181088_2043_3274.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_31002511_1412340000_KTDKAHC_219833_928_18007.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_31002511_1442250000_TGKIR_226056_5038_21652.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_0759911_1330530000_BHARBC_352000_13107_15824.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Krishna/IISc_VaaniProject_S_AP_Krishna_130157_12393555_CGBTHIS_31748_92_9351.wav,S,TAMIL,Krishna,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_61438794_1715370000_BHECHBA_356300_7904_16437.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_130217_12658956_KTBEGOB_341480_2_1482.wav,S,TAMIL,Bellary,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_123182_12519304_APATTD_138587_0_9926.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_121274_12360700_APATPP_272956_2_8626.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_75170221_1443370000_KTCMCO_300751_11413_20480.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_107880_11465752_BHGGGY_364048_8_10169.wav,S,TAMIL,Guntur,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_76005322_0715570000_KTCMLI_188414_5994_20480.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_85501224_1308540000_KTCMFOS_300538_18506_23178.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_125615_12535544_BHARBC_282683_8_14874.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_72592303_1346100000_TGKBR_65321_16704_20213.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chittoor/IISc_VaaniProject_M_AP_Chittoor_Divy39350_1223160000_KTBBU_320464_1950_19934.wav,M,TAMIL,Chittoor,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_0759911_1322170000_KTCMWP_15921_8672_13077.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_130217_12659839_KTBEGY_341092_1958_15114.wav,S,TAMIL,Bellary,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_06706863_0944270000_BHVSFAR_338553_9194_16629.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_135561_12832557_APATWP_138482_7725_13397.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Anantpur/IISc_VaaniProject_S_AP_Anantpur_125615_12551552_BHECHBA_356299_6646_12194.wav,S,TAMIL,Anantpur,
https://vaani.iisc.ac.in/Audios/Guntur/IISc_VaaniProject_S_AP_Guntur_128010_12563551_APGUMEC_172180_0_5283.wav,S,TAMIL,Guntur,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_85501224_1420130000_KTCMFR_15872_592_6977.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87711822_1621160000_KTCMCH_198808_9834_15744.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_76005322_0708520000_KTCMFLM_300578_20768_22528.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_87711822_1637210000_KTCMGY_114456_1056_8458.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Shimoga/IISc_VaaniProject_S_Karnataka_Shimoga_115628_11842369_BHGJHE_3140_0_10824.wav,S,TAMIL,Shimoga,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_19333691_0854170000_KTCMDOA_300650_11749_20736.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Shimoga/IISc_VaaniProject_S_Karnataka_Shimoga_115628_11833385_BHGJFA_178743_8_9844.wav,S,TAMIL,Shimoga,
https://vaani.iisc.ac.in/Audios/Chamrajn/IISc_VaaniProject_M_KA_Chamrajn_85501224_1332410000_KTCMFLM_198752_6890_17738.wav,M,TAMIL,Chamrajn,
https://vaani.iisc.ac.in/Audios/Bellary/IISc_VaaniProject_S_Karnataka_Bellary_130217_12683250_KTBEOTHER_341356_12764_16656.wav,S,TAMIL,Bellary,
