File Name,Duration (seconds),File Size with Header (bytes),Transcription
IISc_VaaniProject_M_CG_Sukma_Bipa96646_1551310000_CGSKBU_205347_5354_8042.wav,2.688,87314,ITTON YO TO EXPS PA LONOCE
IISc_VaaniProject_M_CG_Sukma_Bhun26589_0756340000_CGSKOTHER_304785_15370_18058.wav,2.688,87314,HOW TOA TENT TE A LER WHOM A COSF ME AN
IISc_VaaniProject_M_CG_Sukma_Kana94480_0711490000_BHGJPA_192350_2176_4864.wav,2.688,87314,BLLIE LELETES ETIQ RO
IISc_VaaniProject_M_CG_Sukma_Kana94480_0557310000_CGSKREI_282954_2197_4885.wav,2.688,87314,ROUBLI I MUGUS WITE DE CUPOROTEO TALIVER
IISc_VaaniProject_M_CG_Sukma_Kana94480_0703180000_TGKST_26878_5290_7978.wav,2.688,87314,FROM TE USADENO ESIN
IISc_VaaniProject_M_BR_Begusara_Bind30405_1532130000_BHBSOTHER_184437_16533_19221.wav,2.688,87314,THE KIP BUT A SOM BIT
IISc_VaaniProject_M_BR_Begusara_52119647_0825050000_CGBTFAR_252019_13632_16320.wav,2.688,87314,I SAV COVOLEN DAPORADIS NI LENGUMUG
IISc_VaaniProject_M_BR_Begusara_06448439_0439190000_CGBTCH_207516_13738_16426.wav,2.688,87314,THE LEKIS HAIR HE SADWADS PAPONI TAE
IISc_VaaniProject_M_BR_Begusara_Vina18652_0304060000_KTBBK_320367_1290_3978.wav,2.688,87314,UNIAN BAN CANIAN BANCAME LOD O BEZ
IISc_VaaniProject_M_BR_Begusara_Sonu14546_0850270000_BHBSOTHER_302935_10933_13621.wav,2.688,87314,RY AMBLE I SARY LOW SOM AIACTIN IN
IISc_VaaniProject_M_BR_Begusara_Bind30405_1528010000_APATGT_50690_16512_19200.wav,2.688,87314,DE CAN PUT ON DLE VITILICINMAN DIC MACAS
IISc_VaaniProject_M_BR_Begusara_34942824_0835370000_BHARBC_351991_3072_5760.wav,2.688,87314,CANHE YO BOOKO TO CAN ME HULKI SOM GA BOOK MIL TE HA
IISc_VaaniProject_M_BR_Begusara_70710755_0722380000_KTVEM_158236_18048_20736.wav,2.688,87314,A WUNE WUME GET OUT O MY LEMME A BITTACTO
IISc_VaaniProject_M_BR_Begusara_Arju48945_0807220000_JKJCO_370285_2282_4970.wav,2.688,87314,IG HARR KA THE KID ALI WU I KISSERA SIN
IISc_VaaniProject_M_BR_Begusara_Sonu14546_0611550000_BHBSGOB_145730_17280_19968.wav,2.688,87314,FO STERVI LAAU WABO CADAY
IISc_VaaniProject_M_BR_Begusara_91640564_0304370000_APATLK_63760_19328_22016.wav,2.688,87314,GA PIMAJAT TAM LOOCOTOTOF
IISc_VaaniProject_M_BR_Begusara_Radh66134_1348150000_APATFI_81139_15744_18432.wav,2.688,87314,CARRI TURB CATTED KINDRAMASLEER
IISc_VaaniProject_M_BR_Begusara_Anja96999_1055210000_BHJHAT_310011_17056_19744.wav,2.688,87314,OR BUILDING LALDONGS ATONGOSATI
IISc_VaaniProject_M_BR_Begusara_Rahu67584_0814170000_BHBSSH_132693_9269_11957.wav,2.688,87314,GLEAM HIS LAST SABON SAMPLE
IISc_VaaniProject_M_BR_Begusara_Arju48945_0822420000_BHBSBU_155621_6058_8746.wav,2.688,87314,BASLAGARAE LOVIS WAS BETTER TINER
IISc_VaaniProject_M_BR_Begusara_88978699_0711260000_BHBSRI_216123_5717_8405.wav,2.688,87314,OH  NOW BE ARE BUT NOW MAK
IISc_VaaniProject_M_BR_Begusara_Upen34982_1611020000_UPVNLI_49426_13941_16629.wav,2.688,87314,ROMAA OR POT PONGERMINICAMNEBALAHERE
IISc_VaaniProject_M_BR_Begusara_54298747_1005420000_BHJHAC_137522_16917_19605.wav,2.688,87314,RORDA THA IHAH JIDAGAL ORDEN
IISc_VaaniProject_M_BR_Begusara_Karu87577_0942370000_BHBSBR_303540_1685_4373.wav,2.688,87314,RETURNED MY LITTLE WOUND YOU YO GIVE ALL
IISc_VaaniProject_M_BR_Begusara_Vini46659_0545590000_BHBSTO_142584_9130_11818.wav,2.688,87314,WHICH HAD MA BE CUTTIN A JUST
IISc_VaaniProject_M_BR_Begusara_Ranj21448_1437500000_CGBTCS_45717_704_3392.wav,2.688,87314,TA AT OUTER BY CAM BY
IISc_VaaniProject_M_BR_Begusara_72625_1436090000_BHBSGOB_130812_2048_4736.wav,2.688,87314,TILKARS A LAE BUSAAS ATHETHEY AN
IISc_VaaniProject_M_BR_Begusara_Aman54502_1127410000_APVBO_57741_896_3584.wav,2.688,87314,ONE ESTOGELEGATER THE LOGIC SEEMS ER
IISc_VaaniProject_M_RJ_Nagaur_Moha04507_0808560000_RJNGPP_319405_10325_13013.wav,2.688,87314,ORDER THAT A MAN COULD SI DECA DET A
IISc_VaaniProject_M_RJ_Nagaur_Purn60361_0435150000_BHGJINA_178734_11008_13696.wav,2.688,87314,A GOOD ELO ON THE CALMEY SADLEO PAVONE DI
IISc_VaaniProject_M_RJ_Nagaur_Vija374983_1437010000_BHGJTNT_193315_1248_3936.wav,2.688,87314,YE GO SADIKI AAO WORTI MAN
IISc_VaaniProject_M_RJ_Nagaur_Aasi37661_1341350000_RJNGGA_2716_21120_23808.wav,2.688,87314,TOTESOTEFILD OR COM MAY BE THE GIDEAEAR
IISc_VaaniProject_M_RJ_Nagaur_Paya59014_1632130000_RJNGMOT_141549_746_3434.wav,2.688,87314,EMACA AN TOLI SILL OWAR THE DICRIANDI
IISc_VaaniProject_M_RJ_Nagaur_RONA99938_0735560000_TGKGY_168875_5613_8301.wav,2.688,87314,JIM M GUNA SAT A LAWYARCES HUMUNDER DE TO
IISc_VaaniProject_M_RJ_Nagaur_Suni03817_1436280000_RJNGBK_371098_20832_23520.wav,2.688,87314,CETOLGARERE AND LE ONDE DE CONVIERE
IISc_VaaniProject_M_RJ_Nagaur_Aham01345_1524290000_UPVNLA_185132_469_3157.wav,2.688,87314,ABLY IF ANIT  LUN
IISc_VaaniProject_M_RJ_Nagaur_Muni37624_0410400000_RJNGFAR_371392_17834_20522.wav,2.688,87314,ERT WOULD NA BE DE CRAE AND BUSA DICANILA
IISc_VaaniProject_M_RJ_Nagaur_Bant53530_1532420000_BHGJGT_4791_6421_9109.wav,2.688,87314,AM JUS SUNNAH HE HAIR
IISc_VaaniProject_M_RJ_Nagaur_Aadi67703_1602480000_RJNGGT_10844_2762_5450.wav,2.688,87314,IN TIK MAMU BATEWAY PHENOMENC
IISc_VaaniProject_M_RJ_Nagaur_Ramu94767_0204390000_BHGGFIM_2612_18784_21472.wav,2.688,87314,TE NOTESANGNAN FOR DE DONGBARDY
IISc_VaaniProject_M_RJ_Nagaur_Amin26351_0354260000_RJNGOTHER_319055_21376_24064.wav,2.688,87314,JO DANA WAS MORFUL YEAR BUT GODIN
IISc_VaaniProject_M_RJ_Nagaur_Paya59014_1633360000_RJNGUN_127530_6336_9024.wav,2.688,87314,DEMAND THE LIHODOPAN SAY SOMEWORET WE MEN
IISc_VaaniProject_M_RJ_Nagaur_Chan06711_1350560000_APATSP_82830_21888_24576.wav,2.688,87314,DINEGLIAN ADTY GAS E LRACIE
IISc_VaaniProject_M_RJ_Nagaur_Raje21338_0556370000_BHJMAT_294991_14933_17621.wav,2.688,87314,O O PU COLLE LAGRO KISSONS ARI YOU HEAD
IISc_VaaniProject_M_RJ_Nagaur_Push70318_0148300000_UPVNHIS_234427_6364_9052.wav,2.688,87314,OR OPER A BEARED BOTALAV RADGER
IISc_VaaniProject_M_RJ_Nagaur_Laks58012_1059270000_APVEV_115982_3994_6682.wav,2.688,87314,JAR AWAY CONU BANAECHER
IISc_VaaniProject_M_RJ_Nagaur_Pari90794_1611480000_KTBAMP_27552_21269_23957.wav,2.688,87314,IN NOT A IF CARE OR
IISc_VaaniProject_M_RJ_Nagaur_Moha69002_1555190000_CGBMFA_346526_18218_20906.wav,2.688,87314,UT DEY NIM GO PEAR A SOM MAN LOGE
IISc_VaaniProject_M_RJ_Nagaur_RONA99938_0725010000_RJNGOTHER_103207_4550_7238.wav,2.688,87314,OL YOU MA HATO GO ON OVE BOAR TEN YOU BALEGLO TO YO
IISc_VaaniProject_M_RJ_Nagaur_Bajr445589_0831070000_RJNGAMP_287702_704_3392.wav,2.688,87314,AN GOTOF MOMENT SOMO TI THERE
IISc_VaaniProject_M_RJ_Nagaur_Rish73730_0443550000_KTDHSC_2515_14890_17578.wav,2.688,87314,OF THE AGED WIPUDE NON DE COURER
IISc_VaaniProject_M_RJ_Nagaur_Ajay84546_0402290000_KTDKACO_299443_1194_3882.wav,2.688,87314,MOCON OCAM TALLYO THE
IISc_VaaniProject_M_RJ_Nagaur_Ajay84546_0420390000_RJNGTE_63134_9834_12522.wav,2.688,87314,GOLLY WE WAT ON N MORE TELL US OF EV YET
IISc_VaaniProject_M_RJ_Nagaur_sure38524_1756160000_RJNGOTHER_371256_15721_18409.wav,2.688,87314,ULA HERIAIN GEAGUBLADI CRA
IISc_VaaniProject_M_RJ_Nagaur_Arju18568_0348140000_RJNGTA_371847_21504_24192.wav,2.688,87314,A TAULY TET WI MAE
IISc_VaaniProject_M_RJ_Nagaur_Anar09255_1600440000_CGKDFM_26945_21248_23936.wav,2.688,87314,AN WIT DERS TE PEP PRATON MIT DEAR
IISc_VaaniProject_M_RJ_Nagaur_Mani77879_0908340000_BHJMBC_162100_2176_4864.wav,2.688,87314,ATEE QITOVE VELLE CONER
IISc_VaaniProject_M_RJ_Nagaur_Bhag29925_1058020000_APATKUM_156504_15296_17984.wav,2.688,87314,I ADNOT FOR THE NEGEDIE  THE DEDE BIER
IISc_VaaniProject_M_BR_Vaishali_Reem80997_1545180000_BHGGBO_149763_291_2979.wav,2.688,87314,YAPAN A DEN A DE MAKEBODY NOW HE
IISc_VaaniProject_M_BR_Vaishali_Ansh06430_1024180000_CGBMEX_346486_17440_20128.wav,2.688,87314,WOLD CONDA HAD MUSTTHE LEATHER LADY HAR
IISc_VaaniProject_M_BR_Vaishali_Reem80997_1541490000_BHVSBR_219326_358_3046.wav,2.688,87314,NAPPER AND A VELVIC BELKIPA NA
IISc_VaaniProject_M_BR_Vaishali_Poor66750_0555240000_JKJEV_370378_9336_12025.wav,2.688,87314,EOF AN GOD E HERE TO SUJA WHO A I BOT
IISc_VaaniProject_M_BR_Vaishali_Sita64849_2000370000_BHVSSC_25490_16818_19506.wav,2.688,87314,ON BON BY OUR HAND THOSE THAT I CAN KEE HER
IISc_VaaniProject_M_BR_Vaishali_Poor66750_0544530000_BHVSGY_338731_7001_9689.wav,2.688,87314,ORD BUL AS A BUILDING HAAS MANH
IISc_VaaniProject_M_BR_Vaishali_Bhoo45746_1619110000_APCTDOA_163136_4170_6858.wav,2.688,87314,MISMAME TAT I LIKE TO CAM ONE THAT I VISE HER
IISc_VaaniProject_M_BR_Vaishali_Parv76886_0950500000_CGBTFAR_252019_5992_8680.wav,2.688,87314,AD ARAN KINE ADDING EPING ADAN KE
IISc_VaaniProject_M_BR_Vaishali_shal37125_0850160000_BHVSBUPS_338190_11578_14266.wav,2.688,87314,TH FAITH FIRST TEY PUT OM AN DO BEN HOUR DE CRY
IISc_VaaniProject_M_BR_Vaishali_Seet51548_1129080000_CGBMEX_346516_17455_20143.wav,2.688,87314,PUT GITRAPLIGHT LAGY OR VAN SOON JOHLARA
IISc_VaaniProject_M_BR_Vaishali_Moni57892_0622030000_BHVSHO_212835_11239_13927.wav,2.688,87314,IS ME HOTEL GUT YOUNG RAZY MILICABER
IISc_VaaniProject_M_BR_Vaishali_Amit08112_1450200000_BHGGFE_363836_2897_5585.wav,2.688,87314,ECRA THESEBOPE DO TIE TE CRYN
IISc_VaaniProject_M_BR_Vaishali_Hema65744_0655130000_BHVSEV_212735_9482_12170.wav,2.688,87314,AR DE IS PALIS LISSA
IISc_VaaniProject_M_BR_Vaishali_Sonu30686_1636500000_MRABC_323380_771_3459.wav,2.688,87314,ABOSE LOGA CARREE
IISc_VaaniProject_M_BR_Vaishali_Renu87705_0834220000_BHVSBA_219561_5159_7847.wav,2.688,87314,GANGIA HAN LA THE NIGT THAT AWAN HIM
IISc_VaaniProject_M_BR_Vaishali_Vish46207_1457320000_BHVSSTF_339732_7265_9953.wav,2.688,87314,DIS MAKE O GOOD LITTLE GU BUCHELLAGO I
IISc_VaaniProject_M_BR_Vaishali_Hars3991_1202190000_BHVSBA_338023_1365_4053.wav,2.688,87314,YOUR EGDUGAN GADRISE HER
IISc_VaaniProject_S_Bihar_Vaishali_82613_10398871_BHVSGOB_25797_6562_9250.wav,2.688,87314,INA BAGOM GRETE INA PRULE
